shipment_id,order_id,carrier,shipment_date,delivery_date,shipping_cost,distance_km
900184,5000474,DHL Express,01-07-2025,04-07-2025,188.31,3165.3
900185,5006138,DHL Express,15-04-2023,06-05-2023,576.58,8795.6
900186,5007655,Blue Dart,10-03-2026,31-03-2026,536.98,10194.2
900187,5011164,fedex,20-02-2026,21-02-2026,77.44,1335.3
900188,5001640,DHL,07-30-2026,11-08-2026,568.06,8014.8
900189,5003674,fedex,02-06-2025,06-06-2025,230.13,3984.8
900190,5007395,fedex,23-02-2024,03-03-2024,292.72,6896
900191,5011862,fedex,28-09-2024,05-10-2024,312.82,6661.5
900192,5009186,fedex,06-06-2026,09-06-2026,200.95,2969.5
900193,5008857,Blue Dart,31-05-2025,01-06-2025,37.05,632.2
900194,5004749,UPS,22-07-2024,06-08-2024,653.23,10521.9
900195,5008518,Maersk,31-12-2025,06-01-2026,364.4,4987.4
900196,5009101,DHL,,,425.4,7348.9
900197,5003495,fedex,21-06-2023,03-07-2023,691.82,10699.2
900198,5000729,Maersk,11-03-2024,15-03-2024,108,2272.9
900199,5004767,Maersk,06-14-2026,07-02-2026,499.76,9846
900200,5006589,UPS,09-11-2023,24-11-2023,531.64,8955.1
900201,5011170,Maersk,28-02-2024,15-03-2024,517.99,
900202,5009059,DHL Express,26-11-2025,09-12-2025,527.34,8510.3
900203,5007283,fedex,17-06-2026,,337.54,4599.5
900204,5006537,DHL Express,23-10-2024,10-24-2024,13.67,66.5
900205,5008343,DHL,05-05-2024,08-05-2024,204.1,3338.4
900206,5003124,Blue Dart,,,473.18,6904.3
900207,5006703,FedEx,,,289.39,4799.6
900208,5004942,UPS,15-07-2025,07-27-2025,310.67,7277.4
900209,5007809,Blue Dart,,,487.61,7111.8
900210,5004308,fedex,20-12-2022,22-12-2022,105.8,2285.8
900211,5004767,UPS,13-06-2026,26-06-2026,629.44,11779.1
900212,5005480,Blue Dart,30-10-2025,31-10-2025,49.06,854.3
900213,5007863,DHL,,,164.54,4005.9
900214,5009563,UPS,28-05-2025,07-06-2025,351.45,5455.7
900215,5003366,DHL,04-01-2024,18-01-2024,713.15,10680.7
900216,5005639,fedex,17-02-2025,02-03-2025,488.42,6992.1
900217,5009603,Blue Dart,01-05-2022,,504.15,7620
900218,5010557,DHL Express,,,76.61,1481.2
900219,5008607,Maersk,09-02-2025,20-02-2025,609.54,8848.5
900220,5009985,Maersk,03-09-2025,12-09-2025,409.95,7687.3
900221,5002894,UPS,25-04-2026,26-04-2026,68.39,899.8
900222,5011115,Blue Dart,18-01-2026,07-02-2026,549.28,10777.2
900223,5002006,Blue Dart,12-10-2025,20-10-2025,448.87,7953.5
900224,5011655,Maersk,11-10-2024,15-10-2024,155.77,3147.8
900225,5010357,Maersk,25-01-2021,08-Feb-21,444.45,10403.5
900226,5000654,UPS,28-04-2026,17-05-2026,520.62,8370.4
900227,5002920,UPS,04-04-2026,05-04-2026,15.56,5.6
900228,5009935,fedex,27-07-2026,28-07-2026,25.73,250.2
900229,5002423,Maersk,03-09-2025,17-09-2025,528.25,8384.8
900230,5007586,DHL,29-04-2026,04-05-2026,237.59,4759.6
900231,5002348,DHL Express,24-02-2026,02-03-2026,334.45,5796.6
900232,5000522,fedex,23-08-2025,24-08-2025,37.08,388.6
900233,5006938,UPS,02-04-2026,04-04-2026,101.08,1759.9
900234,5003653,DHL,,,392.18,7275.8
900235,5008370,UPS,10-06-2026,17-06-2026,204.09,
900236,5011882,Blue Dart,06-12-2025,07-12-2025,84.94,1172.4
900237,5010646,DHL,10-12-2024,14-12-2024,139.56,2612.4
900238,5001409,DHL Express,22-09-2023,16-10-2023,681.47,10572.4
900239,5006582,FedEx,04-08-2024,16-08-2024,525.3,10894.5
900240,5005592,Blue Dart,14-04-2025,25-04-2025,269.67,5033.4
900241,5000444,DHL,19-01-2022,30-Jan-22,446.13,6306.6
900242,5010019,DHL Express,14-05-2024,07-06-2024,443.92,10370.1
900243,5003706,DHL,04-14-2026,06-05-2026,,9803.3
900244,5008604,Blue Dart,24-09-2025,,580.99,11245.2
900245,5002975,Blue Dart,13-11-2024,,121.69,1757.5
900246,5003742,DHL Express,09-05-2022,14-05-2022,142.49,3191.9
900247,5011278,DHL,04-10-2025,18-10-2025,679.28,10744.5
900248,5006298,DHL,11-04-2026,15-04-2026,272.31,4169.4
900249,5004247,DHL Express,11-09-2022,28-09-2022,467.05,9700.1
900250,5005519,UPS,,,,6129.5
900251,5005175,Maersk,18-11-2023,15-12-2023,634.5,11383.8
900252,5004455,DHL,31-10-2025,04-11-2025,217.55,3028.5
900253,5006379,DHL,19-01-2023,31-01-2023,625.26,9481.8
900254,5008001,UPS,28-11-2025,30-11-2025,75.51,1345.8
900255,5008801,UPS,22-11-2024,24-11-2024,87.59,1376.6
900256,5009619,DHL Express,,,769.87,11310.4
900257,5011012,Maersk,22-07-2024,28-07-2024,253.32,4851.9
900258,5011117,fedex,,,543.56,7920.1
900259,5003953,DHL Express,25-10-2025,04-Nov-25,504.77,9355.8
900260,5007578,DHL Express,08-07-2021,17-07-2021,276.76,
900261,5008014,DHL,16-09-2024,21-Sep-24,248.49,4515.7
900262,5004599,Maersk,21-11-2024,18-12-2024,597.63,11207.2
900263,5009497,Blue Dart,19-11-2021,29-11-2021,416.07,8807.3
900264,5008309,DHL Express,11-12-2022,16-12-2022,147.74,2676.6
900265,5009976,fedex,14-07-2026,30-07-2026,329.69,7619.5
900266,5011739,UPS,09-Jan-26,22-01-2026,518.17,11258.5
900267,5009667,Blue Dart,,,366.25,7280.1
900268,5000526,Maersk,03-20-2026,30-03-2026,371.8,6534.5
900269,5007830,fedex,06-08-2024,20-08-2024,390.1,6279.8
900270,5006328,DHL Express,06-12-2025,,314.83,7135.8
900271,5002802,FedEx,10-14-2025,03-11-2025,590.08,10530.7
900272,5001625,DHL Express,24-12-2025,28-12-2025,140.62,2653.3
900273,5010531,fedex,27-11-2021,12-08-2021,249.75,5368
900274,5009898,DHL,02-13-2026,19-02-2026,340.31,4733.2
900275,5008233,DHL Express,22-06-2025,06-07-2025,581.09,9203.1
900276,5000692,UPS,15-06-2025,16-06-2025,51.67,1180.7
900277,5000703,Maersk,14-12-2025,27-12-2025,501.5,10036.4
900278,5000884,FedEx,26-04-2022,09-05-2022,635.88,11434.6
900279,5010977,fedex,14-09-2023,25-09-2023,287.6,6718.9
900280,5007328,UPS,21-02-2026,28-02-2026,249.75,4818.4
900281,5003369,Blue Dart,12-02-2025,14-02-2025,89.64,1217.8
900282,5004236,DHL Express,03-05-2025,04-05-2025,77.2,981.3
900283,5007140,Maersk,13-01-2025,02-01-2025,448.2,8298.4
900284,5008850,fedex,19-12-2025,03-01-2026,537.83,10732.3
900285,5010145,UPS,02-03-2024,12-03-2024,356.3,7185.2
900286,5001387,DHL Express,07-08-2023,08-08-2023,16.05,46.3
900287,5004053,fedex,05-09-2023,07-09-2023,107.82,1493.5
900288,5009118,DHL,,,,263.9
900289,5000076,DHL Express,11-06-2024,15-06-2024,156.82,2577.9
900290,5004162,UPS,20-07-2026,24-07-2026,250.39,
900291,5005172,Maersk,14-12-2024,01-01-2025,496.74,10843.5
900292,5009222,FedEx,16-11-2023,,155.7,3701.1
900293,5001633,Maersk,29-12-2024,11-01-2025,530.62,10698.1
900294,5001692,DHL,22-04-2026,06-05-2026,574.71,11210.8
900295,5004042,Blue Dart,04-05-2025,08-05-2025,127.93,1802.1
900296,5007756,Maersk,25-11-2025,01-12-2025,297.47,5754.3
900297,5002626,fedex,24-03-2025,01-04-2025,366.94,5514.3
900298,5003185,FedEx,12-Jul-23,25-07-2023,399.46,8801.9
900299,5000913,DHL Express,27-05-2022,02-06-2022,213.08,3313.9
900300,5007106,fedex,14-02-2025,27-02-2025,558.87,9914.1
900301,5011624,DHL Express,02-04-2026,09-04-2026,260.36,4514
900302,5003940,DHL,11-04-2023,19-11-2023,,6924
900303,5006871,Maersk,26-10-2025,06-11-2025,491.52,7739.5
900304,5001089,fedex,21-03-2025,22-Mar-25,91.66,1499.9
900305,5007711,DHL Express,10-11-2025,02-12-2025,494.51,9978.2
900306,5006727,Maersk,17-12-2024,24-12-2024,310.46,4911.5
900307,5002865,DHL Express,,,9.85,174.7
900308,5010535,Blue Dart,15-07-2021,31-07-2021,635.32,
900309,5009095,Blue Dart,16-01-2023,20-01-2023,199.66,3136.1
900310,5009842,UPS,30-12-2025,01-01-2026,57.87,1098.9
900311,5009232,FedEx,11-03-2023,15-03-2023,209.61,3315
900312,5009421,DHL,05-02-2024,18-02-2024,388.39,9118.4
900313,5003254,fedex,,,181.72,4152.7
900314,5008227,Blue Dart,03-06-2023,22-06-2023,466.09,9982.8
900315,5005946,Blue Dart,17-05-2023,05-06-2023,622.19,11079
900316,5010565,FedEx,31-03-2026,17-04-2026,478.49,7551.5
900317,5001005,DHL Express,02-07-2026,12-07-2026,523.11,7610.5
900318,5007156,DHL Express,02-04-2023,09-04-2023,256.66,5349.8
900319,5005389,UPS,11-04-2026,04-19-2026,338.04,6512.5
900320,5001218,fedex,04-04-2023,15-04-2023,209.66,4632.9
900321,5003072,DHL Express,06-05-2023,19-05-2023,574.33,11689.2
900322,5005050,UPS,11-05-2024,15-05-2024,187.03,3495
900323,5005692,fedex,31-05-2024,03-06-2024,101.1,1546.7
900324,5002761,fedex,02-07-2026,17-02-2026,291.94,5098.9
900325,5008958,fedex,06-09-2025,09-15-2025,441.55,8397.1
900326,5009992,DHL Express,06-06-2025,25-06-2025,625.23,10089.9
900327,5009484,DHL,09-12-2025,11-12-2025,99.49,1579.7
900328,5011721,DHL Express,28-01-2025,13-02-2025,455.29,7176.8
900329,5001371,FedEx,26-08-2025,06-09-2025,,5703.5
900330,5009864,DHL,10-08-2024,29-08-2024,743.5,11547.4
900331,5002344,fedex,29-11-2024,13-12-2024,648.17,11212.1
900332,5009421,fedex,02-01-2024,09-02-2024,322.49,5382.5
900333,5011885,UPS,,,549.78,10953.5
900334,5002786,Blue Dart,31-08-2023,02-09-2023,104.49,2038.7
900335,5008789,DHL,,,229.9,4738.8
900336,5010063,Blue Dart,24-10-2025,31-10-2025,165.86,3508.1
900337,5003719,FedEx,01-06-2021,07-06-2021,258.9,3669.3
900338,5009113,DHL Express,23-12-2023,28-Dec-23,285.21,
900339,5006601,Maersk,14-07-2024,20-07-2024,202.12,4048.2
900340,5005571,DHL,,,615.37,8722.3
900341,5006630,DHL,11-11-2024,13-11-2024,51.64,1169.3
900342,5009615,fedex,04-10-2025,12-10-2025,483.31,7867
900343,5001165,Blue Dart,02-09-2025,15-09-2025,604.36,9982.2
900344,5009112,fedex,07-31-2026,15-08-2026,337.63,7288.9
900345,5010809,Maersk,21-04-2026,22-04-2026,27.12,406.1
900346,5010759,DHL,26-05-2023,31-05-2023,240.46,4539.5
900347,5003401,DHL,15-09-2023,,,3329.6
900348,5011785,Blue Dart,15-03-2025,30-03-2025,715.73,11820.1
900349,5007132,fedex,02-08-2025,03-08-2025,61.34,
900350,5011448,Maersk,22-02-2025,01-03-2025,286.08,4987.2
900351,5005209,Maersk,30-08-2023,09-09-2023,425.43,7058.5
900352,5004637,Blue Dart,18-Nov-23,25-11-2023,333.92,6172.5
900353,5005807,UPS,29-09-2022,18-10-2022,751.3,11142.6
900354,5005045,Blue Dart,19-10-2022,31-10-2022,683.06,10624.1
900355,5008431,Maersk,18-07-2026,08-08-2026,622.76,10363.7
900356,5001587,Maersk,,,173.88,3653.3
900357,5004372,FedEx,17-01-2025,18-01-2025,15.5,114.9
900358,5011804,DHL Express,27-Oct-24,05-11-2024,202.1,4324.3
900359,5004310,DHL Express,11-07-2025,22-07-2025,397.11,8032.8
900360,5006589,DHL,,,637.15,9782.8
900361,5006466,DHL,13-05-2024,17-05-2024,,3424.5
900362,5011715,UPS,24-01-2026,03-02-2026,320.39,4736
900363,5002388,DHL,,,535.8,11842.7
900364,5005658,Blue Dart,20-05-2021,05-26-2021,141.08,2792.8
900365,5005869,DHL,,,110.02,
900366,5003659,Blue Dart,28-11-2025,02-12-2025,213.14,3143.5
900367,5006892,FedEx,23-08-2024,15-09-2024,563.7,11860
900368,5003791,fedex,10-10-2024,10-20-2024,384.39,5675.5
900369,5002997,Maersk,29-11-2025,,420.1,
900370,5007680,Maersk,12-29-2023,12-01-2024,404.56,8299.9
900371,5007672,Blue Dart,16-06-2022,24-06-2022,331.99,5010.7
900372,5011052,Maersk,08-03-2024,09-03-2024,18.39,205.6
900373,5006280,fedex,26-05-2026,28-05-2026,119.42,2085.9
900374,5001930,DHL,21-07-2026,23-07-2026,145.37,1926.9
900375,5007600,Maersk,03-Nov-24,11-11-2024,420.21,5877.4
900376,5011697,FedEx,24-06-2026,10-07-2026,704.09,
900377,5004577,UPS,,,310.67,6620.9
900378,5011733,FedEx,14-08-2023,23-08-2023,217.55,5009.5
900379,5000432,UPS,09-01-2026,21-01-2026,651.63,9487.1
900380,5005189,fedex,17-06-2023,25-06-2023,432.16,7228.8
900381,5004311,UPS,18-07-2026,23-07-2026,232.44,4326.4
900382,5005128,UPS,15-05-2022,01-06-2022,499.49,
900383,5005544,Maersk,25-02-2024,08-03-2024,337.29,7738.9
900384,5009953,fedex,13-11-2023,29-11-2023,632.1,10531.4
900385,5011511,Maersk,07-05-2026,09-05-2026,118.97,1686.9
900386,5002373,UPS,07-07-2026,22-07-2026,792.83,11365.8
900387,5008904,DHL,28-09-2022,20-10-2022,674.38,11852.8
900388,5007156,DHL,,,726.25,10290.5
900389,5006619,Blue Dart,26-02-2026,05-03-2026,321.15,5876.8
900390,5002008,FedEx,03-04-2025,20-04-2025,450.38,10931.1
900391,5004213,Blue Dart,11-07-2024,19-Jul-24,267.58,4614.3
900392,5005641,Maersk,,,61.96,830.1
900393,5000092,Blue Dart,02-01-2026,12-01-2026,304.41,6894
900394,5003829,DHL Express,05-03-2025,,162.88,2338.9
900395,5010528,Blue Dart,30-04-2024,10-05-2024,263.67,5211.6
900396,5004182,DHL Express,20-11-2022,23-11-2022,161.09,2754.6
900397,5011976,fedex,21-03-2023,04-02-2023,,6021.6
900398,5005839,Blue Dart,24-10-2023,06-11-2023,456.84,7019.6
900399,5004366,FedEx,04-10-2023,08-10-2023,132.99,2135.8
900400,5001080,FedEx,02-10-2023,18-10-2023,,8245.3
900401,5011552,UPS,,,122.23,1819
900402,5004157,DHL,02-10-2024,11-10-2024,329.88,6353.3
900403,5002896,FedEx,18-12-2025,12-22-2025,141.63,3320
900404,5007141,fedex,28-03-2024,01-04-2024,225.9,3789.6
900405,5010712,FedEx,04-12-2025,16-12-2025,610.92,8784
900406,5010735,DHL,12-06-2025,14-06-2025,95.74,1966.9
900407,5005147,DHL,,,132.75,2012.1
900408,5008432,fedex,19-07-2024,22-07-2024,178.64,2894.2
900409,5000289,fedex,05-01-2025,11-01-2025,193.14,4085
900410,5011428,UPS,06-02-2023,16-02-2023,413.97,
900411,5004373,DHL,28-07-2022,10-08-2022,596.4,9019.8
900412,5011849,UPS,09-02-2026,23-02-2026,757.72,10932.2
900413,5011405,fedex,,,197.99,2774.1
900414,5008768,fedex,,,421.25,9789.3
900415,5003562,Maersk,22-04-2023,03-05-2023,351.65,7615.6
900416,5003204,Maersk,,,136.3,2143.8
900417,5008839,fedex,04-05-2024,11-05-2024,260.43,4430.9
900418,5001214,fedex,25-08-2021,14-09-2021,582.96,11563.5
900419,5000869,UPS,,,710.63,10435.1
900420,5010566,DHL Express,28-11-2023,20-12-2023,532.46,11563
900421,5003016,DHL,06-03-2025,,159.2,3417.3
900422,5007942,DHL Express,17-11-2025,,338.51,8345
900423,5003913,fedex,12-04-2026,04-25-2026,432.05,9653.3
900424,5009819,fedex,01-11-2025,11-28-2025,719.62,11776.1
900425,5007227,FedEx,12-04-2025,29-04-2025,436.28,10502.4
