order_id,customer_id,warehouse_id,order_date,ship_date,order_status,order_total,Column1
5000093,302358,538,16-07-2025,25-07-2025,SHIPPED,75644.06,
5000094,302705,505,05-19-2026,27-05-2026,Pending,83475.02,
5000095,302448,514,20-07-2026,01-08-2026,delivered,,
5000096,300071,507,28-02-2026,01-03-2026,Pending,15013.75,
5000097,300305,513,19-05-2025,05-24-2025,Delivered,54982.98,
5000098,302727,514,26-Jan-24,05-02-2024,delivered,,
5000099,301579,529,12-07-2024,12-07-2024,SHIPPED,20201.36,
5000100,300538,515,06-10-2024,12-10-2024,Shipped,154996.78,
5000101,301759,532,29-Sep-25,01-10-2025,Shipped,49424.2,
5000102,300498,515,18-08-2023,27-08-2023,Cancelled,-2732.53,
5000103,300243,521,08-02-2022,19-02-2022,Pending,20286.49,
5000104,300244,510,25-04-2025,07-05-2025,SHIPPED,202969.89,
5000105,302274,539,20-07-2026,21-07-2026,SHIPPED,82805.1,
5000106,302594,537,11-14-2023,22-11-2023,delivered,55500.53,
5000107,300669,505,14-09-2024,14-09-2024,Delivered,,
5000108,302126,526,13-01-2024,25-01-2024,SHIPPED,91298.74,
5000109,300175,505,29-10-2025,05-11-2025,Cancelled,,
5000110,301119,537,10-09-2023,14-09-2023,SHIPPED,35848.46,
5000111,300048,522,25-06-2024,03-07-2024,pending ,48728.6,
5000112,301075,526,19-06-2024,27-06-2024,delivered,-1716.69,
5000113,302341,503,23-08-2025,25-08-2025,Returned,75072.24,
5000114,300587,502,04-07-2026,09-07-2026,pending ,12504.14,
5000115,301766,521,12-07-2024,22-07-2024,pending ,55757.86,
5000116,301664,539,18-10-2024,27-10-2024,SHIPPED,97590.47,
5000117,301171,509,01-12-2025,11-12-2025,Returned,105817.42,
5000118,302754,534,23-Jan-25,23-Jan-25,SHIPPED,2311.93,
5000119,300348,525,07-08-2022,19-08-2022,Delivered,87538.23,
5000120,300777,539,30-10-2025,03-11-2025,SHIPPED,27196.41,
5000121,301979,503,18-05-2026,23-05-2026,pending ,122568.52,
5000122,302801,503,02-04-2025,07-04-2025,Pending,0,
5000123,300845,510,06-11-2021,10-11-2021,delivered,,
5000124,301599,501,15-01-2023,26-01-2023,Returned,21916.51,
5000125,302459,505,15-06-2024,16-06-2024,delivered,32209.79,
5000126,300616,524,04-12-2020,07-12-2020,Cancelled,,
5000127,302945,533,01-09-2021,07-09-2021,Pending,223297.54,
5000128,300993,509,28-02-2023,11-03-2023,Returned,14502.77,
5000129,301058,515,18-11-2025,30-11-2025,Shipped,60636.19,
5000130,301152,535,06-04-2021,13-04-2021,Cancelled,,
5000131,302790,530,05-05-2026,12-05-2026,Returned,93857.7,
5000132,300185,507,08-12-2023,14-12-2023,Cancelled,105685.44,
5000133,302016,533,04-03-2024,04-03-2024,SHIPPED,3547.67,
5000134,300617,520,06-06-2026,12-06-2026,SHIPPED,50160.85,
5000135,300890,522,10-12-2025,17-12-2025,delivered,20633.98,
5000136,300523,514,24-01-2026,28-01-2026,Pending,94379.25,
5000137,300801,510,06-06-2026,06-10-2026,Cancelled,38427.99,
5000138,301340,505,12-05-2022,20-05-2022,Delivered,129674.61,
5000139,301357,516,09-07-2021,14-07-2021,Pending,,
5000140,302093,511,09-01-2026,,SHIPPED,84634.23,
5000141,301937,525,08-09-2024,19-09-2024,pending ,5551.09,
5000142,301226,533,20-12-2024,31-Dec-24,delivered,69138.02,
5000143,300851,514,15-05-2024,21-05-2024,Shipped,,
5000144,301522,526,20-10-2023,30-10-2023,Returned,243444.22,
5000145,302916,517,01-06-2024,05-06-2024,Shipped,4947.85,
5000146,300063,525,16-01-2026,20-01-2026,SHIPPED,40743.8,
5000147,301253,530,02-02-2023,05-02-2023,pending ,,
5000148,300397,524,05-01-2024,08-01-2024,pending ,106040.51,
5000149,300675,528,28-06-2026,05-07-2026,Cancelled,25577.05,
5000150,302594,515,17-12-2024,26-12-2024,delivered,111244.94,
5000151,302260,527,05-05-2025,16-05-2025,pending ,122739.81,
5000152,302097,504,18-09-2024,30-09-2024,pending ,72364.49,
5000153,302487,514,27-08-2025,30-08-2025,Returned,14022.12,
5000154,302390,514,04-09-2024,06-09-2024,delivered,120745.97,
5000155,301082,503,13-Apr-24,20-04-2024,Shipped,143070.97,
5000156,301279,534,29-05-2025,04-06-2025,pending ,43525.56,
5000157,302962,517,30-Aug-25,,SHIPPED,100241.54,
5000158,301684,523,25-10-2025,25-10-2025,Pending,92943.22,
5000159,300664,510,19-01-2026,21-01-2026,Pending,38457.77,
5000160,300496,533,11-12-2024,20-11-2024,Pending,92383.4,
5000161,301748,514,14-03-2025,17-03-2025,delivered,,
5000162,302638,528,01-03-2026,11-03-2026,SHIPPED,24018.17,
5000163,302704,503,29-12-2023,06-01-2024,Pending,35232.19,
5000164,300829,517,09-11-2025,14-11-2025,Shipped,,
5000165,300461,520,26-11-2025,12-08-2025,Pending,57088.33,
5000166,300485,525,21-03-2024,28-03-2024,Returned,66742.6,
5000167,302291,525,11-May-24,19-05-2024,delivered,18939.16,
5000168,301481,536,27-06-2026,08-07-2026,Pending,,
5000169,300301,516,16-05-2025,28-05-2025,SHIPPED,81382.38,
5000170,300793,526,20-Jun-26,27-06-2026,pending ,162908.9,
5000171,301951,524,22-06-2025,27-06-2025,Cancelled,15182.47,
5000172,301265,532,08-22-2022,31-08-2022,Delivered,4172.11,
5000173,302244,512,06-06-2025,13-06-2025,pending ,87624.81,
5000174,301664,524,03-04-2023,03-04-2023,Shipped,2834.32,
5000175,301370,534,21-09-2022,25-09-2022,SHIPPED,87872.32,
5000176,301029,540,03-01-2026,04-01-2026,Delivered,21682.19,
5000177,300357,534,03-01-2024,04-01-2024,Returned,23702.07,
5000178,301886,520,25-05-2023,06-06-2023,Shipped,148865.16,
5000179,301404,515,20-09-2025,20-09-2025,SHIPPED,112651.33,
5000180,301892,515,19-05-2025,21-05-2025,SHIPPED,4645.72,
5000181,300485,512,04-07-2024,14-04-2024,Pending,,
5000182,300235,533,07-05-2025,16-05-2025,Returned,100074.02,
5000183,301488,507,07-11-2025,19-11-2025,pending ,,
5000184,302532,511,06-04-2025,04-13-2025,Returned,70649.61,
5000185,302777,530,19-04-2024,22-Apr-24,Delivered,,
5000186,302402,533,12-11-2025,20-11-2025,SHIPPED,74858.28,
5000187,300258,534,19-09-2023,28-09-2023,SHIPPED,15317.72,
5000188,301962,519,23-11-2025,04-12-2025,SHIPPED,1186.98,
5000189,301122,532,20-07-2024,26-07-2024,pending ,112323.25,
5000190,302695,523,19-09-2025,01-10-2025,delivered,135911.78,
5000191,302123,525,27-06-2024,01-07-2024,pending ,146771.72,
5000192,300321,523,07-05-2025,19-05-2025,pending ,,
5000193,301036,503,24-02-2025,26-02-2025,Cancelled,544.82,
5000194,301814,511,17-06-2024,17-06-2024,SHIPPED,145575.79,
5000195,301290,540,03-07-2023,03-07-2023,delivered,102494.4,
5000196,301146,503,18-05-2025,25-05-2025,Cancelled,82421.92,
5000197,300814,524,27-02-2026,08-03-2026,SHIPPED,0,
5000198,301241,503,27-08-2025,31-08-2025,pending ,4380.24,
5000199,300857,518,18-02-2023,18-02-2023,Pending,38162.58,
5000200,302894,502,04-07-2022,04-07-2022,SHIPPED,1486.69,
5000201,301479,515,25-03-2026,01-04-2026,Cancelled,,
5000202,301194,530,14-01-2026,20-01-2026,SHIPPED,,
5000203,301769,503,15-07-2026,17-Jul-26,Returned,8605.87,
5000204,300457,539,24-09-2024,24-09-2024,Returned,,
5000205,300286,506,31-07-2023,,SHIPPED,61578.61,
5000206,300184,535,12-05-2024,21-05-2024,Returned,,
5000207,302425,531,03-02-2026,10-02-2026,Delivered,28997.27,
5000208,301750,517,16-06-2022,21-06-2022,Returned,8623.15,
5000209,302892,534,06-22-2025,27-06-2025,Pending,68693.22,
5000210,301679,512,28-09-2022,28-09-2022,pending ,,
5000211,301369,531,24-05-2025,25-05-2025,Shipped,42795.16,
5000212,300656,512,10-04-2025,21-04-2025,Shipped,64892.35,
5000213,300522,532,31-10-2023,05-11-2023,Returned,84715.47,
5000214,302754,514,14-07-2023,17-07-2023,pending ,89265.88,
5000215,300037,533,09-10-2024,09-10-2024,SHIPPED,10308.89,
5000216,302627,508,22-04-2024,28-04-2024,pending ,7524.91,
5000217,302162,535,01-05-2022,05-05-2022,Cancelled,,
5000218,300044,517,12-08-2024,24-08-2024,delivered,,
5000219,302704,501,13-05-2023,17-05-2023,Delivered,132382.66,
5000220,302517,513,24-07-2024,31-07-2024,Cancelled,77850.09,
5000221,302717,525,03-09-2025,07-09-2025,SHIPPED,104916.1,
5000222,302018,521,31-12-2025,08-01-2026,Returned,115586.03,
5000223,300171,536,26-12-2025,31-12-2025,Delivered,23460.65,
5000224,300819,503,19-03-2025,24-03-2025,delivered,,
5000225,300633,540,03-04-2026,04-03-2026,Pending,77145.08,
5000226,302487,525,24-01-2026,24-01-2026,Pending,102902.13,
5000227,301008,526,05-07-2025,05-07-2025,delivered,20665.86,
5000228,301128,512,04-10-2023,07-10-2023,delivered,,
5000229,300881,536,01-14-2025,19-01-2025,Pending,65163.69,
5000230,302867,525,01-12-2023,03-12-2023,Delivered,34640.3,
5000231,302321,504,26-01-2023,31-01-2023,pending ,15972.54,
5000232,300891,523,17-11-2025,24-11-2025,Pending,311095.17,
5000233,301110,522,27-04-2026,02-05-2026,delivered,,
5000234,300347,511,14-08-2025,24-08-2025,Returned,858.67,
5000235,300539,507,13-05-2025,15-05-2025,pending ,187749.65,
5000236,302809,534,29-03-2025,08-04-2025,delivered,2181.41,
5000237,302424,516,30-Mar-21,07-04-2021,delivered,2450.77,
5000238,301243,533,09-12-2024,10-12-2024,Returned,131400.11,
5000239,302100,519,01-06-2026,02-06-2026,Delivered,42447.48,
5000240,302091,509,03-07-2024,07-07-2024,Cancelled,6768.79,
5000241,301362,529,20-07-2023,26-07-2023,delivered,75701.08,
5000242,302464,524,25-07-2025,02-08-2025,Pending,,
5000243,302720,529,27-12-2024,01-01-2025,pending ,142224.37,
5000244,302571,532,13-04-2026,22-04-2026,Shipped,18901.59,
5000245,300517,533,20-09-2025,24-09-2025,Cancelled,136832.83,
5000246,301977,531,11-07-2026,11-07-2026,delivered,93873.22,
5000247,301492,519,26-08-2025,30-08-2025,pending ,105979.49,
5000248,301087,528,02-02-2024,05-02-2024,SHIPPED,172057.58,
5000249,302700,508,22-05-2025,27-05-2025,Delivered,,
5000250,300692,528,25-10-2025,11-03-2025,Shipped,40796.55,
5000251,300635,532,05-08-2024,12-08-2024,Returned,296053.93,
5000252,301507,513,24-01-2025,31-01-2025,Delivered,21034.81,
5000253,300229,519,07-06-2025,12-06-2025,delivered,3971.57,
5000254,301457,524,24-12-2025,05-01-2026,Cancelled,92283.42,
5000255,300834,531,27-04-2023,09-05-2023,delivered,75670.08,
5000256,300032,538,28-12-2024,05-01-2025,Returned,89898.7,
5000257,300823,531,07-06-2023,12-06-2023,Pending,32125.45,
5000258,300383,538,28-02-2026,06-03-2026,Cancelled,69136.56,
5000259,300281,527,16-12-2025,,delivered,,
5000260,302647,506,15-12-2022,,Cancelled,123904.99,
5000261,302447,506,18-06-2023,21-06-2023,Delivered,42283.55,
5000262,300136,513,26-09-2025,07-10-2025,SHIPPED,3739.77,
5000263,300996,538,30-05-2026,,Cancelled,,
5000264,302226,534,19-01-2026,29-01-2026,Returned,43291.16,
5000265,301161,529,16-06-2026,28-06-2026,SHIPPED,28049.7,
5000266,301656,518,24-05-2023,05-06-2023,Returned,25941.55,
5000267,302100,512,13-02-2025,24-02-2025,pending ,50286.28,
5000268,301140,527,19-07-2024,19-07-2024,Cancelled,70881.39,
5000269,302803,532,27-05-2023,02-06-2023,delivered,67064.69,
5000270,302123,536,08-07-2022,12-07-2022,Returned,132548.57,
5000271,301590,529,24-02-2026,28-02-2026,Cancelled,5026.2,
5000272,302331,516,20-10-2025,25-10-2025,Returned,77531,
5000273,302678,513,26-11-2021,26-11-2021,Delivered,50627.23,
5000274,302276,525,06-11-2025,15-11-2025,Shipped,34844.27,
5000275,300499,512,22-07-2026,31-07-2026,Returned,110781.95,
5000276,301572,532,20-10-2025,20-10-2025,pending ,53961.67,
5000277,302896,504,03-12-2025,13-12-2025,SHIPPED,64543.85,
5000278,302015,534,10-12-2024,12-17-2024,delivered,27645.65,
5000279,301343,525,30-12-2025,04-01-2026,SHIPPED,5945.93,
5000280,302670,530,02-12-2025,12-10-2025,delivered,137415.99,
5000281,300275,526,17-05-2024,24-05-2024,Returned,13626.03,
5000282,302465,514,06-12-2023,09-12-2023,Shipped,,
5000283,301046,523,22-04-2025,26-04-2025,Returned,,
5000284,300619,533,28-03-2023,04-01-2023,Pending,,
5000285,300208,521,10-21-2022,30-10-2022,Delivered,1183.44,
5000286,301394,524,05-05-2025,08-05-2025,delivered,62536.69,
5000287,300204,506,10-12-2025,13-12-2025,pending ,100046.55,
5000288,301734,514,21-06-2023,28-06-2023,Delivered,154548.71,
5000289,301144,514,04-01-2025,05-01-2025,Shipped,12685.75,
5000290,302012,503,23-02-2025,25-02-2025,delivered,43615.65,
5000291,301881,538,31-12-2024,06-01-2025,delivered,353908.52,
5000292,300544,502,09-11-2025,14-11-2025,Shipped,25385.33,
5000293,301188,521,11-02-2023,19-02-2023,pending ,104401.42,
5000294,301963,524,06-03-2025,06-03-2025,Pending,,
5000295,300446,536,27-10-2025,31-10-2025,pending ,41643.46,
5000296,300452,529,11-04-2025,13-04-2025,pending ,,
5000297,301156,506,25-08-2025,31-08-2025,Delivered,147377.4,
5000298,300719,513,18-08-2024,24-08-2024,Delivered,85735.64,
5000299,301715,510,05-03-2026,10-Mar-26,Pending,35082,
5000300,300222,526,08-06-2024,06-15-2024,Shipped,20697.31,
5000301,300032,523,02-03-2024,12-03-2024,Delivered,127867.06,
5000302,301746,501,16-10-2025,17-10-2025,Shipped,79171.68,
5000303,302859,525,10-12-2021,21-12-2021,Cancelled,,
5000304,301495,513,08-05-2026,11-05-2026,Delivered,72485.35,
5000305,302580,524,22-05-2026,26-05-2026,Shipped,43942.58,
5000306,301715,531,17-12-2024,24-12-2024,Cancelled,33864.17,
5000307,300132,518,18-01-2024,28-01-2024,delivered,74359.75,
5000308,302573,508,03-06-2025,05-06-2025,Shipped,80196.5,
5000309,301323,520,10-04-2026,10-04-2026,Cancelled,27846.33,
5000310,301166,524,08-04-2025,11-04-2025,Cancelled,85810.62,
5000311,300027,531,01-05-2025,06-05-2025,Delivered,9970.62,
5000312,302367,535,20-04-2026,21-04-2026,Cancelled,54305.31,
5000313,301847,503,04-Feb-26,02-06-2026,pending ,8026.37,
5000314,300252,512,10-02-2025,21-02-2025,Cancelled,66344.32,
5000315,302571,531,22-06-2026,02-07-2026,SHIPPED,3209.61,
5000316,302168,530,24-02-2022,03-03-2022,Shipped,59911.29,
5000317,302022,516,27-07-2026,08-08-2026,Delivered,164707.14,
5000318,302809,524,15-Jan-25,24-01-2025,Cancelled,6201.75,
5000319,301014,532,06-10-2023,12-10-2023,Returned,55095.82,
5000320,302961,503,23-10-2023,03-11-2023,delivered,68266.89,
5000321,300612,522,17-06-2026,22-06-2026,SHIPPED,34296.59,
5000322,301511,537,02-02-2023,04-02-2023,delivered,70805.58,
5000323,301743,512,15-05-2022,24-05-2022,Pending,38158.84,
5000324,302587,505,24-03-2025,30-03-2025,Shipped,30986.4,
5000325,300109,515,12-06-2024,06-12-2024,Delivered,,
5000326,302277,530,30-03-2022,,Pending,146369.49,
5000327,302047,511,29-07-2025,03-08-2025,pending ,17744.08,
5000328,301905,532,05-10-2026,22-05-2026,pending ,,
5000329,300550,533,10-03-2025,04-10-2025,SHIPPED,,
5000330,301254,502,04-08-2025,11-08-2025,delivered,,
5000331,301599,508,01-02-2026,04-01-2026,Shipped,,
5000332,300839,526,30-11-2023,11-12-2023,pending ,14872.92,
5000333,301157,540,07-21-2025,21-Jul-25,Returned,21349.82,
5000334,302960,527,01-09-2025,04-09-2025,Shipped,-1838.33,
5000335,302008,517,03-04-2026,07-04-2026,delivered,33516.82,
5000336,302516,522,12-04-2025,16-04-2025,SHIPPED,,
5000337,302476,538,29-09-2025,30-09-2025,Shipped,27602.95,
5000338,302506,504,10-11-2024,14-11-2024,Pending,22918.86,
5000339,301563,508,07-06-2026,16-06-2026,Cancelled,44134.14,
5000340,300864,516,17-06-2025,20-06-2025,pending ,30546.67,
5000341,302281,503,07-08-2024,13-08-2024,pending ,1877.99,
5000342,301532,516,06-12-2024,12-11-2024,pending ,31900.62,
5000343,301039,533,09-04-2025,11-04-2025,Cancelled,8462.62,
5000344,301190,508,24-09-2025,03-10-2025,Pending,61684.52,
5000345,302372,506,10-10-2023,17-10-2023,Delivered,47802.42,
5000346,301001,518,28-07-2026,09-08-2026,Delivered,,
5000347,301296,531,19-03-2023,26-03-2023,Shipped,112430.23,
5000348,301879,514,22-09-2024,24-09-2024,delivered,,
5000349,300846,516,09-21-2025,02-10-2025,Delivered,,
5000350,302407,530,04-04-2022,13-04-2022,SHIPPED,-9301.99,
5000351,302423,529,12-08-2024,14-12-2024,SHIPPED,230913.12,
5000352,302195,530,10-01-2025,22-01-2025,Delivered,455.92,
5000353,301638,518,12-06-2026,21-06-2026,Shipped,141306.4,
5000354,300248,502,13-08-2023,20-08-2023,Returned,86013.18,
5000355,302549,523,22-10-2022,31-10-2022,SHIPPED,64583.44,
5000356,302504,508,18-04-2025,20-04-2025,Cancelled,,
5000357,301515,521,14-02-2026,18-02-2026,Shipped,820.21,
5000358,300413,521,05-10-2024,05-10-2024,delivered,31376,
5000359,301621,506,20-11-2023,26-11-2023,Pending,205741.97,
5000360,301575,520,10-06-2025,15-06-2025,Pending,20124.91,
5000361,300014,508,13-02-2024,18-02-2024,Pending,122029.21,
5000362,300591,516,09-11-2025,09-11-2025,pending ,8638.54,
5000363,301009,515,15-01-2024,21-01-2024,delivered,25729.29,
5000364,301062,504,23-08-2024,23-08-2024,Cancelled,29484.04,
5000365,302338,505,23-02-2026,04-03-2026,SHIPPED,21274.77,
5000366,300778,509,04-09-2023,14-09-2023,Delivered,28580.11,
5000367,300699,519,21-06-2024,28-06-2024,delivered,37476.52,
5000368,301787,506,05-12-2023,10-12-2023,SHIPPED,99301.38,
5000369,301606,501,15-06-2023,20-06-2023,Shipped,81001.22,
5000370,301347,521,06-01-2026,01-13-2026,pending ,75362.13,
5000371,302248,537,10-14-2022,19-10-2022,Pending,115234.94,
5000372,300351,508,01-01-2026,01-02-2026,Shipped,56447.4,
5000373,301189,519,04-16-2022,,SHIPPED,57441.9,
5000374,302365,513,14-12-2025,18-12-2025,Pending,14759.09,
5000375,300024,511,06-29-2023,29-06-2023,Pending,113359.7,
5000376,300212,533,12-08-2025,23-08-2025,SHIPPED,102077.88,
5000377,301652,540,24-05-2025,25-05-2025,Shipped,0,
5000378,301013,525,28-09-2024,08-10-2024,Shipped,,
5000379,301706,518,08-11-2025,20-08-2025,Shipped,8925.34,
5000380,302293,502,02-19-2025,20-02-2025,Cancelled,190445.77,
5000381,300420,526,23-11-2024,01-12-2024,Cancelled,24904.87,
5000382,301188,535,06-12-2022,17-12-2022,Pending,49727.22,
5000383,302976,517,30-07-2026,05-08-2026,Pending,218590.09,
5000384,300042,521,18-06-2022,30-Jun-22,pending ,19943.43,
5000385,300162,531,11-04-2025,15-04-2025,Cancelled,23950.26,
5000386,302670,535,14-07-2026,25-07-2026,SHIPPED,211168.94,
5000387,301925,504,10-06-2025,21-06-2025,pending ,37189.14,
5000388,300550,503,11-19-2024,24-11-2024,Delivered,,
5000389,300084,514,01-06-2023,13-Jun-23,Pending,49715.74,
5000390,301162,509,02-11-2024,04-11-2024,Shipped,42007.78,
5000391,301790,538,21-01-2023,27-01-2023,Cancelled,62398.01,
5000392,302380,521,05-01-2026,08-01-2026,Cancelled,129868.41,
5000393,301562,513,17-Apr-26,27-04-2026,SHIPPED,,
5000394,302114,531,10-01-2025,21-01-2025,Cancelled,151236.36,
5000395,301443,515,15-02-2026,24-02-2026,Shipped,,
5000396,300331,538,19-05-2025,29-05-2025,Returned,,
5000397,302897,504,26-06-2025,03-07-2025,Delivered,95808.36,
5000398,302031,524,20-01-2026,,Returned,102430.32,
5000399,302320,537,21-06-2023,07-03-2023,pending ,266668.63,
5000400,301548,527,16-07-2026,22-07-2026,Delivered,59948.96,
5000401,301333,523,19-10-2024,31-10-2024,delivered,48549.41,
5000402,301139,511,24-03-2026,29-03-2026,Cancelled,76757.34,
5000403,300774,503,11-06-2025,15-Nov-25,Cancelled,59337.09,
5000404,302702,523,20-11-2024,01-12-2024,Delivered,70145.09,
5000405,302444,532,06-03-2025,07-03-2025,SHIPPED,59970.09,
5000406,300940,523,26-03-2025,26-03-2025,Delivered,45728.52,
5000407,301032,532,04-16-2022,18-Apr-22,pending ,20131.14,
5000408,300162,512,17-11-2023,25-11-2023,Cancelled,92650.4,
5000409,301448,529,14-09-2024,25-09-2024,Shipped,82603.41,
5000410,300661,521,07-07-2024,13-07-2024,Cancelled,58056.94,
5000411,300289,520,17-02-2022,20-02-2022,Delivered,7314.64,
5000412,302192,526,21-Jun-26,24-06-2026,delivered,112548.77,
5000413,302382,502,02-09-2023,,Shipped,,
5000414,302087,516,06-11-2023,10-11-2023,Shipped,3214.5,
5000415,302776,503,16-11-2021,24-11-2021,Delivered,22024.54,
5000416,302229,529,16-07-2023,,SHIPPED,26583.72,
5000417,300257,536,02-07-2025,09-07-2025,Pending,73932.32,
5000418,300264,537,30-06-2023,07-07-2023,Cancelled,25935.2,
5000419,302723,502,04-09-2025,14-09-2025,Cancelled,24110.45,
5000420,302967,520,03-05-2023,06-03-2023,Delivered,259404.81,
5000421,301206,501,24-08-2025,03-09-2025,delivered,60361.63,
