order_detail_id,order_id,product_id,quantity,discount_pct,line_total
800048,5009946,21266,44,6.7,58095.15
800049,5009001,20873,21,15.8,26745.44
800050,5000734,20348,21,7.0,2503.75
800051,5008260,20814,14,6.4,19629.79
800052,5009154,21477,46,5.6,74694.93
800053,5005860,20692,1,0.4,78.99
800054,5002425,21310,50,25.4,83246.51
800055,5007024,21209,35,15.6,41479.77
800056,5006469,21412,48,10.4,65896.43
800057,5006088,21434,2,6.3,3515.59
800058,5001768,20459,20,6.8,33348.26
800059,5001942,20885,40,16.2,69057.23
800060,5005173,20532,10,20.3,10655.73
800061,5000680,20218,27,5.2,50556.96
800062,5004918,20757,33,25.9,28806.37
800063,5005068,21296,49,26.6,1124.3
800064,5004716,20900,29,15.8,56951.08
800065,5008849,20887,-1,1.6,-544.31
800066,5007937,21372,17,25.4,26093.85
800067,5011520,20408,48,0.4,54955.3
800068,5007540,20997,35,10.6,33787.57
800069,5009704,20818,6,5.9,10261.21
800070,5004989,20809,48,21.9,90559.39
800071,5010815,21297,3,11.7,
800072,5005564,20581,24,0.5,55852.45
800073,5009966,20585,-2,0.4,-4498.12
800074,5009990,20835,29,26.4,11561.4
800075,5009409,21102,47,16.3,51093.49
800076,5002823,20396,48,1.1,87547.86
800077,5003959,20135,20,6.9,21942.18
800078,5006407,20708,18,6.9,9791.87
800079,5003360,20786,32,1.6,20618.34
800080,5008805,20650,13,16.3,25893.52
800081,5005714,20665,12,10.1,12294.76
800082,5010416,20406,6,1.0,11867.94
800083,5005166,20564,2,15.4,2783.51
800084,5001613,21332,23,25.5,1162.61
800085,5008650,20416,4,0.7,1315.61
800086,5003583,21072,34,10.3,59683.67
800087,5002101,20967,-3,25.0,-5589.81
800088,5003380,20166,23,11.1,24074.3
800089,5007029,21038,6,10.0,9658.06
800090,5010329,20741,48,0.7,116450.3
800091,5009825,20576,20,1.9,9938.9
800092,5008807,20749,28,0.7,61122.65
800093,5006892,20330,12,21.4,15543.09
800094,5010142,20538,49,26.0,68669.91
800095,5003304,21323,45,0.8,108653.76
800096,5002859,20074,26,0.8,10183.46
800097,5001268,20490,21,16.7,9536.48
800098,5002150,20490,28,5.1,20281.61
800099,5009848,20348,22,1.7,
800100,5005206,20963,1,10.0,1950.85
800101,5008741,20203,25,5.2,28638.13
800102,5008821,20742,40,1.4,20197.22
800103,5009382,21400,2,0.1,4465.89
800104,5005601,21118,30,1.8,56856.33
800105,5002929,20192,36,0.4,75222.3
800106,5011422,21119,33,16.1,18612.86
800107,5008554,20897,-4,26.0,-3642.49
800108,5001800,20789,36,0.8,65544.73
800109,5001840,20187,22,21.0,34762.61
800110,5005397,20676,33,1.8,69841.74
800111,5006866,20564,14,20.7,18263.9
800112,5006521,20140,25,25.2,44379.59
800113,5004090,20002,28,10.1,16931.19
800114,5000223,20903,11,21.6,10663.83
800115,5001945,21058,1,5.1,1311.64
800116,5009271,20520,48,21.0,69021.23
800117,5000747,20125,18,0.3,4703.11
800118,5008630,21321,15,1.6,30011.21
800119,5011671,21003,-4,0.7,-8467.11
800120,5001534,20830,16,6.0,21018.1
800121,5006886,21218,22,25.4,40985.36
800122,5005830,20249,27,5.5,41713.96
800123,5011389,21441,34,26.5,58536.08
800124,5000541,20514,48,1.4,106021.82
800125,5008482,21076,10,6.5,7186.6
800126,5011367,21126,16,26.9,23931.19
800127,5005155,21127,29,20.9,890.49
800128,5008152,20234,10,16.1,14079.26
800129,5004259,20091,32,10.9,29704.09
800130,5008931,21405,13,11.8,7837.58
800131,5001520,20174,38,15.4,71373.7
800132,5003916,20008,5,0.8,
800133,5008377,20707,19,11.5,2797.01
800134,5010835,20401,20,15.4,30675.28
800135,5009366,20629,39,20.4,9762.41
800136,5001268,21320,2,5.9,3380.62
800137,5004698,21320,27,21.9,37878.37
800138,5000753,21204,24,1.6,53715.77
800139,5008326,20294,15,,23442.36
800140,5005194,21181,7,0.3,5375.23
800141,5004366,21440,38,26.6,54108.81
800142,5006609,21487,41,6.2,91020.86
800143,5002111,21105,43,,101227.39
800144,5001496,21209,31,5.1,41309.87
800145,5005357,20821,48,,86705.41
800146,5011860,21164,25,1.1,16957.89
800147,5006810,20885,22,,38072.13
800148,5005629,20988,17,25.8,
800149,5008724,20453,15,0.5,2150.54
800150,5005721,21301,13,5.2,13957.05
800151,5002686,21211,35,16.6,54847.13
800152,5002165,20211,6,5.2,11577.58
800153,5005358,20774,7,1.6,10476.23
800154,5011464,20020,18,0.9,
800155,5010837,21438,21,16.8,32045.05
800156,5011889,21249,2,16.2,277.83
800157,5001104,21280,11,5.2,441.42
800158,5011973,20474,39,20.5,26046.99
800159,5004559,20064,41,6.5,36003.47
800160,5007990,20896,22,16.6,41844.27
800161,5002391,20435,15,26.8,13685.47
800162,5002644,20877,25,,43600.6
800163,5007766,20576,25,5.4,
800164,5009729,21396,39,21.6,53801.53
800165,5010694,21104,24,5.2,37921.9
800166,5002991,20910,21,5.5,1536.0
800167,5008416,20810,4,5.7,6985.63
800168,5009837,21494,4,5.2,4494.28
800169,5002202,20722,1,6.0,2211.84
800170,5008189,20677,36,0.0,8257.68
800171,5010248,20026,37,21.7,19450.84
800172,5007505,21157,47,25.7,54614.0
800173,5003938,20295,23,1.4,1169.05
800174,5004245,20595,34,20.0,27406.99
800175,5006316,20042,13,1.5,
800176,5001440,20879,46,1.7,49535.87
800177,5007303,21335,47,11.0,84034.8
800178,5009742,21013,24,11.3,2228.21
800179,5001583,20652,12,5.0,18822.77
800180,5001054,20643,6,11.7,10202.36
800181,5000108,20672,16,6.2,32494.57
800182,5004611,20614,34,,67809.71
800183,5008894,20243,50,16.5,93052.82
800184,5010410,20027,48,1.9,705.38
800185,5008630,21188,16,1.1,12328.64
800186,5002158,20924,10,6.5,17975.66
800187,5011754,20501,21,25.4,13834.17
800188,5006871,20580,50,21.7,86585.71
800189,5000499,20429,20,,34511.19
800190,5004615,21331,26,27.0,29121.39
800191,5001991,20097,25,1.7,30254.04
800192,5008943,20215,22,1.0,53549.83
800193,5003130,20572,39,0.6,78412.76
800194,5002600,21019,32,20.1,30272.51
800195,5002316,20349,3,20.7,4677.95
800196,5005106,20358,9,16.9,3196.97
800197,5004875,21087,11,26.1,19482.37
800198,5005704,20919,23,20.9,12269.0
800199,5006699,20616,6,25.0,1011.56
800200,5010997,20439,24,0.2,27213.78
800201,5009872,20983,8,20.3,7496.84
800202,5000101,21326,18,2.0,4498.91
800203,5005968,20568,10,1.9,2341.06
800204,5010562,21012,9,20.4,3145.21
800205,5010200,20171,37,25.0,379.06
800206,5001361,20551,46,21.8,68796.81
800207,5004284,20385,49,1.6,
800208,5005513,21129,24,1.1,27998.04
800209,5011031,20756,44,2.0,72286.37
800210,5008872,20715,34,6.7,47589.66
800211,5005200,21147,42,0.1,61641.34
800212,5000008,21058,17,5.2,22274.41
800213,5006006,20624,45,15.1,70748.4
800214,5010033,20945,16,16.2,7349.19
800215,5011953,20447,29,20.4,27507.59
800216,5011096,20501,29,20.4,20384.79
800217,5004589,20960,12,15.0,15769.3
800218,5000342,21392,28,20.8,31900.62
800219,5008978,21195,2,10.6,2059.26
800220,5004354,21406,1,1.7,49.14
800221,5009189,20739,14,10.2,29651.06
800222,5004230,20443,-10,0.3,-18485.28
800223,5009876,20848,43,11.7,52636.05
800224,5005224,20361,43,10.2,19260.28
800225,5011619,21057,7,10.4,1081.98
800226,5004733,21392,20,16.1,24138.37
800227,5006556,21125,14,5.1,7660.04
800228,5008806,20152,9,0.5,8257.76
800229,5010315,21379,43,25.1,43048.52
800230,5007230,21111,50,26.8,74482.46
800231,5006218,20143,14,1.2,27036.72
800232,5009401,20449,37,15.7,53268.93
800233,5001182,20169,3,0.9,995.36
800234,5008191,21327,47,21.7,24405.32
800235,5009247,20487,-9,11.2,-14386.48
800236,5011296,21175,44,10.9,30072.6
800237,5004366,20683,16,0.2,16256.22
800238,5003173,20519,10,11.4,19420.5
800239,5011105,20348,26,11.6,2946.55
800240,5003970,21356,23,0.7,14093.03
800241,5011579,20233,13,1.8,13184.85
800242,5002966,21098,23,0.4,16600.28
800243,5011980,20410,16,16.0,21475.1
800244,5008754,20605,30,0.7,55709.09
800245,5011852,20878,49,1.0,115919.5
800246,5007718,21159,3,15.4,
800247,5003272,20829,25,0.8,51911.11
800248,5002059,21157,15,0.5,23341.66
800249,5004779,20097,41,10.6,45124.37
800250,5009799,21168,23,15.3,11035.01
800251,5008723,20184,3,26.2,4717.86
800252,5009285,21044,34,11.5,24200.18
800253,5003041,20902,26,1.9,61189.91
800254,5010490,20262,12,0.2,17645.92
800255,5007845,21224,29,,60700.56
800256,5007307,20683,10,0.6,10119.42
800257,5010200,21022,38,1.4,17237.53
800258,5009510,20985,7,10.2,7253.98
800259,5008395,21402,26,25.7,14146.38
800260,5011741,21066,33,25.1,4892.98
800261,5007977,20189,4,26.2,6366.61
800262,5010847,20631,32,21.6,18908.57
800263,5005162,21475,45,11.9,10360.43
800264,5009008,21486,40,10.1,34193.29
800265,5005077,21108,14,11.4,24925.84
800266,5002646,20844,35,25.2,9382.65
800267,5002560,20809,43,21.4,81645.49
800268,5011314,21098,47,20.6,27042.49
800269,5000383,20067,23,11.7,17175.52
800270,5007212,20771,23,5.9,8243.17
800271,5006681,20470,47,1.7,104789.87
800272,5007452,20996,13,1.6,8549.66
800273,5008989,20879,43,11.8,41547.55
800274,5009293,20945,22,20.5,9586.62
800275,5004313,20818,1,12.0,1599.34
800276,5010154,21002,50,0.5,79250.26
800277,5004314,21195,38,0.0,43764.98
800278,5001775,20820,19,11.4,5818.34
800279,5011330,21435,40,0.5,44767.44
800280,5004214,20725,42,1.8,99852.55
800281,5000717,20066,43,11.6,80797.17
800282,5004479,20374,41,6.2,83346.18
800283,5010456,21005,43,27.0,46639.89
800284,5007606,20353,9,6.8,4008.12
800285,5006957,20655,30,6.3,62387.62
800286,5001671,21142,22,1.8,23646.44
800287,5005149,20270,26,0.3,17087.78
800288,5001050,20730,10,1.4,12636.87
800289,5000980,21205,42,20.9,22228.84
800290,5004618,20754,24,21.2,21341.06
800291,5009819,20057,16,0.1,20427.39
800292,5009065,20194,49,0.7,78289.6
800293,5005691,20576,36,11.8,16084.61
800294,5008808,20983,45,5.9,49788.83
800295,5006152,20701,1,1.3,117.77
800296,5000014,20325,-1,11.7,-1234.82
800297,5009529,21218,7,21.6,
800298,5001631,20627,26,0.8,908.65
800299,5003193,20449,31,,52836.84
800300,5008189,20581,26,11.1,54060.87
800301,5002386,20697,14,26.0,17416.09
800302,5007612,21161,33,21.8,57922.86
800303,5002481,21492,5,0.1,8916.77
800304,5007237,20398,38,1.9,63939.97
800305,5002032,20862,35,1.0,9567.21
800306,5007278,20454,1,10.8,1910.12
800307,5006762,20474,17,25.6,10625.46
800308,5006675,20116,32,15.7,63073.66
800309,5011268,20621,30,6.1,5628.37
800310,5004869,20843,1,1.6,1358.0
800311,5007279,20260,30,0.2,49375.85
800312,5007671,21466,49,20.2,93792.01
800313,5003902,20877,18,15.1,35583.68
800314,5007660,20700,45,20.7,38629.37
800315,5008731,20954,47,0.5,98044.23
800316,5011585,21019,24,25.8,21084.67
800317,5006987,20526,28,0.6,29058.28
800318,5010978,20857,-7,20.4,-2177.31
800319,5011651,20867,41,20.7,3181.07
800320,5003530,21427,33,1.0,39837.14
800321,5003477,20249,33,20.1,43106.88
800322,5004398,20543,14,25.8,24003.86
800323,5009816,21067,28,26.4,37358.8
800324,5011134,20044,18,16.1,12972.32
800325,5004890,20299,48,0.4,78081.46
800326,5005828,20530,17,10.7,20114.37
800327,5008579,21457,43,6.6,73093.23
800328,5003161,21335,29,0.3,58085.06
800329,5009560,20518,16,16.8,16336.22
800330,5004227,20184,30,20.4,50886.37
800331,5008856,21348,10,21.3,4471.34
800332,5009911,20074,47,,40507.24
800333,5011160,20662,39,0.2,41388.49
800334,5010799,21362,45,1.9,91242.42
800335,5003887,20532,43,5.3,54443.16
800336,5001727,20439,33,21.0,29620.21
800337,5001273,20948,41,15.6,36879.91
800338,5003506,21466,21,21.6,39491.37
800339,5008396,21390,5,1.5,2463.14
800340,5003390,20751,49,0.5,55856.17
800341,5007183,20596,49,0.7,27382.21
800342,5006941,20275,40,,72248.7
800343,5008334,20591,11,1.6,21453.38
800344,5010370,20505,45,0.6,106473.5
800345,5001362,21434,13,16.9,20266.21
800346,5007628,20815,22,1.5,26839.81
800347,5008444,20959,34,6.7,12666.91
800348,5004622,20237,4,0.9,6110.98
800349,5006928,20361,39,16.8,16184.74
800350,5000817,21289,18,26.4,32569.68
800351,5003495,21067,3,1.8,5340.6
800352,5004712,20326,47,1.3,100637.22
800353,5009940,20552,12,0.9,19828.25
800354,5004956,21302,9,1.3,4342.1
800355,5006946,20212,49,10.1,56309.51
800356,5011659,20444,23,21.5,35329.12
800357,5001495,20883,8,0.9,19612.76
800358,5001763,20007,24,20.6,44500.33
800359,5001441,20372,45,10.8,16503.16
800360,5006434,21070,8,,3649.78
800361,5008203,20006,1,10.2,222.99
800362,5011704,20574,49,11.4,29035.28
800363,5001571,21312,42,11.4,61464.18
800364,5007833,20033,13,15.3,9229.09
800365,5005682,20134,13,1.3,3134.23
800366,5003237,21119,4,0.4,2678.28
800367,5001427,21213,1,,1802.59
800368,5003614,20553,26,20.2,25403.23
800369,5000372,20392,47,15.8,40981.65
800370,5003855,20284,40,0.5,95323.79
800371,5001645,20104,24,25.5,11655.97
800372,5006929,20953,37,1.5,84525.07
800373,5000067,20578,29,25.8,48450.79
800374,5003748,20432,1,6.2,169.98
800375,5007192,20186,24,1.6,22029.24
800376,5001107,20074,41,,46747.59
800377,5005773,21313,49,,95219.05
800378,5009673,20927,8,1.8,2814.57
800379,5005017,21400,49,,96600.01
800380,5009497,20281,28,,21855.33
800381,5008099,20673,29,0.8,6176.78
800382,5002682,20199,37,16.1,40539.67
800383,5001804,20300,15,16.1,30378.68
800384,5000931,20103,20,26.4,
800385,5004844,20404,47,26.5,23497.51
800386,5007950,21413,42,,479.4
800387,5011494,20241,35,0.4,63414.17
800388,5008759,20911,8,10.8,13658.38
800389,5009999,20967,44,1.5,
800390,5001383,20136,19,1.7,20835.13
800391,5010541,20770,1,6.0,727.09
800392,5011181,20759,27,1.5,11874.4
800393,5010104,21022,16,1.0,7287.35
800394,5005867,20360,18,26.2,7697.55
800395,5011718,21432,3,,4734.13
800396,5000248,20395,20,26.3,29779.66
800397,5007148,20896,27,0.7,61144.9
800398,5003388,21353,3,6.7,217.73
800399,5005652,20738,9,15.7,8141.76
800400,5004064,21221,26,0.8,60430.14
800401,5009010,20020,7,0.7,9526.55
800402,5003839,21452,15,5.1,20708.94
800403,5008064,20671,8,1.8,
800404,5002021,20118,33,1.9,25057.03
800405,5000604,20674,48,0.6,106987.96
800406,5002158,20205,3,1.2,2951.79
800407,5000836,20810,12,15.0,18890.09
800408,5010814,20730,50,1.2,63312.52
800409,5002833,20281,15,1.2,11649.26
800410,5006637,21012,26,27.0,8332.79
800411,5011204,21399,5,,4963.92
800412,5002050,21011,13,25.6,22262.82
800413,5002941,20134,1,1.3,241.09
800414,5004020,20469,48,6.0,16878.94
800415,5008068,20163,31,0.5,39150.63
800416,5008551,21227,8,1.4,14950.44
800417,5011237,20337,14,,17142.59
800418,5007184,20263,5,,5978.64
800419,5011942,20515,33,25.6,44921.32
800420,5008429,20234,15,26.7,18450.71
800421,5005977,20263,22,11.4,29170.36
800422,5000003,20144,3,1.8,4146.73
800423,5005875,20211,50,0.4,
800424,5002057,20550,39,10.7,29529.81
800425,5008629,21480,47,1.1,3703.77
800426,5003726,20587,44,11.7,76682.58
800427,5004920,20488,20,,5391.65
800428,5010986,20323,31,15.8,23232.87
800429,5009338,20669,8,,6186.5
800430,5007096,20203,1,0.4,1203.53
800431,5004667,20838,-3,,-6132.03
800432,5003942,20902,49,,104504.58
800433,5001331,20363,27,0.2,42176.69
800434,5011422,21430,37,26.7,25091.81
800435,5000478,20411,10,10.4,6120.49
800436,5010674,21269,37,0.9,74974.85
800437,5001697,21470,1,11.0,1636.28
800438,5011910,20117,26,11.9,54264.31
800439,5001518,20421,34,1.2,32274.19
800440,5002072,20368,1,10.7,412.54
800441,5004918,20291,18,10.2,17484.28
800442,5006516,21337,21,20.7,40842.65
800443,5000531,21153,28,0.2,39000.04
800444,5000388,21063,26,0.1,16285.7
800445,5000380,20246,31,1.7,71552.43
800446,5011885,20461,1,6.5,10.52
800447,5011517,20545,15,1.9,17155.04
800448,5007616,20194,7,26.4,8289.62
800449,5005002,20210,34,26.9,61112.51
800450,5006201,21307,22,,3526.54
800451,5005163,21412,19,26.5,21397.03
800452,5009592,21277,22,0.8,23951.62
800453,5001510,20458,26,20.1,9301.56
800454,5010058,20563,43,0.6,63349.63
800455,5001645,20288,10,6.3,8482.47
800456,5001452,20362,30,1.7,2789.16
800457,5011659,21248,46,6.3,105303.36
800458,5008199,20808,38,25.8,65685.12
800459,5001319,20272,34,5.1,2773.59
800460,5007634,20247,34,20.3,35110.34
800461,5011479,21402,11,21.1,6355.54
800462,5003197,20170,32,21.4,30810.19
800463,5009715,21302,13,5.6,5998.68
800464,5005585,21279,-4,25.7,-3087.88
800465,5010272,20674,37,0.2,82801.75
800466,5001868,20367,28,20.2,55619.13
800467,5002050,20435,27,26.1,24869.42
800468,5000966,20312,28,0.6,44335.26
800469,5004959,20865,12,0.1,29797.97
800470,5001244,21267,32,0.2,26689.23
800471,5008059,20005,39,20.5,24971.12
800472,5009170,21248,16,6.8,36431.81
800473,5006076,20908,2,10.4,946.93
800474,5005014,20237,1,0.9,1527.75
800475,5007215,20063,14,0.5,8715.86
800476,5009902,20893,9,0.5,
800477,5010373,20802,31,11.9,27354.97
800478,5011774,20554,36,20.6,48475.89
800479,5005486,20273,6,25.6,7313.1
800480,5003179,20855,18,16.8,12321.05
800481,5004668,20917,9,1.0,
800482,5010828,20713,27,21.6,27416.16
800483,5010459,21298,45,11.2,99569.13
800484,5010020,20398,16,26.2,20253.32
800485,5010646,20828,20,1.6,40000.39
800486,5009661,21045,38,25.0,31204.94
800487,5007506,21056,1,5.6,1130.88
800488,5007766,20426,5,1.5,6545.72
800489,5005420,21258,40,10.2,14465.7
800490,5011879,20907,16,1.2,33547.42
800491,5010706,20195,48,10.9,47847.98
800492,5005521,21407,39,15.7,27630.49
800493,5004577,21046,48,,69124.45
800494,5000314,21391,7,5.2,408.38
800495,5004697,20413,17,5.2,12567.58
800496,5002541,21310,6,0.7,13297.12
800497,5006962,21062,33,6.1,27128.19
800498,5009763,20064,49,0.7,45697.68
800499,5003229,20880,27,1.8,10650.41
800500,5011187,21424,19,1.3,17169.12
800501,5011345,20825,43,25.1,69647.96
800502,5005023,21376,17,1.5,14678.5
800503,5007890,20930,42,1.5,50540.49
800504,5001470,20474,25,,20708.22
800505,5010761,20486,24,21.6,22805.93
800506,5008103,21171,11,16.7,4766.59
800507,5009046,20453,27,5.5,3676.46
800508,5002778,21081,29,0.1,4458.93
800509,5000402,20958,1,6.6,234.2
800510,5006624,21415,43,1.6,19630.65
800511,5003436,20681,3,6.9,428.61
800512,5010431,21180,49,11.2,87203.27
800513,5002127,20593,11,16.1,21876.24
800514,5007160,20274,21,10.1,24454.35
800515,5008881,20103,19,0.7,39434.67
800516,5000287,21133,25,0.4,8840.5
800517,5003661,21114,7,,14487.94
800518,5008339,20081,11,25.7,10359.36
800519,5001346,21151,14,15.2,9269.42
800520,5000548,20481,30,26.0,38045.03
800521,5000504,20919,8,,5324.9
800522,5009382,21011,26,10.1,53801.81
800523,5005214,21118,8,11.5,13664.05
800524,5001508,20044,24,1.6,20285.67
800525,5005693,20493,46,,42639.08
800526,5002450,20980,11,25.4,10238.05
800527,5007697,21466,50,6.8,111777.09
800528,5007713,21272,31,10.9,59087.67
800529,5002194,21154,1,1.6,527.44
800530,5009824,21438,10,6.2,17203.67
800531,5011915,20497,44,1.6,62299.48
800532,5006323,21330,5,11.5,1620.08
800533,5011301,21119,7,20.6,3736.42
800534,5005891,20557,23,7.0,20541.03
800535,5002745,20421,18,1.6,17017.16
800536,5005220,20951,39,26.6,7186.84
800537,5003982,20464,39,1.1,7829.14
800538,5007728,21289,42,5.2,97886.04
800539,5009756,20565,4,11.8,3336.04
800540,5003938,20586,45,0.9,33607.68
800541,5007276,21431,8,16.8,15146.06
800542,5008787,20472,14,16.9,14471.07
800543,5000881,20054,-7,0.2,-15118.19
800544,5005337,20596,-1,5.7,
800545,5007964,21074,40,16.9,11016.4
800546,5001939,20147,4,1.1,3346.74
800547,5002175,20276,20,,6992.7
800548,5000909,21434,43,20.1,64453.04
800549,5003333,20864,45,0.6,9320.39
800550,5004465,21258,43,0.4,17247.69
800551,5007894,20351,30,22.0,23154.53
800552,5007700,20789,31,10.3,51036.13
800553,5008150,21068,8,12.0,8787.82
800554,5008922,21033,50,10.3,22536.23
800555,5010785,20069,14,0.5,34675.11
800556,5008196,21136,47,0.5,53990.66
800557,5010276,21490,15,5.9,15074.54
800558,5007431,21436,28,26.8,12665.91
800559,5001965,20709,4,26.6,2496.66
800560,5000734,20542,42,15.3,67895.82
800561,5002880,21302,17,11.0,7395.7
800562,5005064,21442,48,20.7,90986.28
800563,5002868,20244,5,1.9,6162.69
800564,5010701,20687,29,5.3,11128.56
800565,5007105,21143,38,1.3,65795.28
800566,5005214,20790,24,0.8,55357.89
800567,5007310,20500,17,25.3,17143.78
800568,5006763,20220,23,6.0,17922.98
800569,5008779,20127,31,20.7,44288.49
800570,5006060,21295,49,,41022.03
800571,5006308,20321,17,20.7,5662.96
800572,5008262,21179,21,1.7,38811.32
800573,5009927,21138,21,,44936.55
800574,5008488,21144,28,0.3,4712.22
800575,5000216,21482,10,1.1,7524.91
800576,5004205,21426,24,25.4,
800577,5000036,20585,35,1.2,78084.75
800578,5009253,21299,46,16.0,73750.24
800579,5005159,20524,27,20.3,
800580,5004969,20027,1,21.8,11.71
800581,5001036,21086,41,1.6,38259.83
800582,5007365,21114,23,6.9,46848.43
800583,5007554,21259,29,21.9,14180.99
800584,5001965,21218,44,1.9,107792.59
800585,5003062,20367,40,20.2,79455.9
800586,5001746,20313,44,0.8,105818.03
800587,5008649,20235,6,0.5,1102.78
800588,5004838,21037,35,6.7,17259.15
800589,5010444,20444,15,0.7,29145.79
800590,5004650,20837,37,,16827.23
800591,5004428,20592,17,1.9,33340.99
800592,5010636,20990,18,26.8,25456.82
800593,5001831,20033,5,,4153.13
800594,5007497,20595,28,0.1,21217.88
800595,5011366,20516,35,0.7,31097.73
800596,5000592,21471,14,26.5,20949.82
800597,5005857,20330,39,15.2,54499.68
800598,5003039,20292,31,10.4,29302.57
800599,5006115,21094,46,6.5,18003.56
800600,5005461,20548,26,20.2,
800601,5009320,20022,44,1.0,82307.06
800602,5007895,21263,4,1.3,8934.13
800603,5005147,20159,25,,42106.84
800604,5000832,20164,34,11.6,54507.16
800605,5000122,21260,20,0.9,
800606,5008058,20841,43,16.5,15833.39
800607,5003330,21468,26,11.4,54836.28
800608,5009429,20682,8,11.0,9868.89
800609,5008984,21462,13,0.5,4608.87
800610,5007486,20436,27,1.3,37874.62
800611,5011190,20694,45,21.9,66653.9
800612,5007522,21367,39,1.8,14994.05
800613,5003548,20705,10,16.1,16275.09
800614,5010315,20619,2,,
800615,5001173,20647,29,25.1,46087.4
800616,5008485,21438,49,0.9,89061.09
800617,5008766,20102,49,26.6,27771.15
800618,5009906,20288,31,0.3,27979.49
800619,5010260,21490,46,5.4,
800620,5007257,20900,32,16.0,62693.3
800621,5002301,20130,14,0.6,5621.23
800622,5006231,21124,28,25.8,39231.11
800623,5009470,20373,23,10.1,38385.4
800624,5003353,21050,4,12.0,4392.19
800625,5004346,20291,21,6.0,21352.36
800626,5009473,20520,10,1.6,
800627,5009360,20790,19,6.1,41483.54
800628,5005737,20651,5,1.9,11571.97
800629,5010277,21164,24,21.9,12855.76
800630,5007988,20388,17,0.1,7875.53
800631,5008224,21425,39,1.6,9169.18
800632,5004625,20322,12,,10007.83
800633,5001559,20817,28,26.2,
800634,5010086,20863,1,21.1,104.15
800635,5007506,20836,7,1.3,11227.95
800636,5000179,21301,19,6.2,20183.59
800637,5003927,20343,19,,12798.5
800638,5010475,21350,24,,31645.46
800639,5006881,21042,45,0.3,110070.0
800640,5006193,20132,29,16.2,42372.97
800641,5008457,21004,21,20.1,40364.9
800642,5003440,21019,35,0.3,41315.68
800643,5006629,21402,13,1.1,9415.05
800644,5009359,21253,13,10.6,6663.47
800645,5007543,20336,38,0.0,72814.84
800646,5002847,20108,13,20.2,24439.28
800647,5005366,20415,19,15.9,12503.25
800648,5005161,20682,33,1.4,45100.27
800649,5003868,20841,1,25.3,
800650,5005138,21378,25,0.3,17969.43
800651,5000623,21464,48,5.7,2641.15
800652,5003088,20263,48,0.0,71833.44
800653,5001453,21054,6,0.4,8178.87
800654,5008709,21222,12,0.4,7340.08
800655,5003315,21291,14,10.5,15449.74
800656,5002157,20845,38,5.8,63271.22
800657,5000848,21040,41,1.7,70329.94
800658,5010996,20571,5,21.8,8434.07
800659,5001414,20731,25,1.0,23689.71
800660,5005236,21284,32,5.3,65642.4
800661,5009439,20745,36,11.9,41144.85
800662,5003404,21354,45,0.3,
800663,5008446,21294,1,,1047.76
800664,5000747,21411,37,20.0,64399.54
800665,5001095,21079,1,0.9,2153.34
800666,5008578,20690,46,0.5,104594.52
800667,5008801,20701,11,7.0,1220.64
800668,5006239,20731,43,2.0,40334.72
800669,5004778,21041,20,26.1,31486.87
800670,5000805,21020,15,0.1,34475.09
800671,5001400,20381,8,,4933.46
800672,5004998,20059,31,1.7,20066.78
800673,5009165,20860,20,0.7,7992.86
800674,5005158,21358,1,11.8,202.15
800675,5011487,20446,50,25.8,19615.51
800676,5004935,20477,20,26.3,25564.61
