order_id,customer_id,warehouse_id,order_date,ship_date,order_status,order_total
5000082,300869,526,2024-05-12,2024-05-16,Shipped,165948.83
5000083,302692,528,2024-01-31,2024-02-02,Shipped,
5000084,302863,523,2025-01-23,2025-01-29,Shipped,20081.03
5000085,302616,503,2026-02-21,,Shipped,57208.26
5000086,301286,539,2024-02-02,2024-02-05,Shipped,150252.1
5000087,302928,526,2026-07-09,,Delivered,55462.07
5000088,301293,501,2025-06-20,2025-06-20,Pending,
5000089,300791,534,2026-07-08,,Delivered,118491.65
5000090,300281,519,2023-03-31,2023-04-07,Delivered,3009.54
5000091,301577,506,2026-05-21,2026-05-30,Cancelled,63824.94
5000092,301644,524,2025-12-30,,Shipped,64317.33
5000093,302358,538,2025-07-16,2025-07-25,Shipped,75644.06
5000094,302705,505,2026-05-19,2026-05-27,Pending,83475.02
5000095,302448,514,2026-07-20,2026-08-01,Delivered,
5000096,300071,507,2026-02-28,2026-03-01,Pending,15013.75
5000097,300305,513,2025-05-19,2025-05-24,Delivered,54982.98
5000098,302727,514,2024-01-26,2024-02-05,Delivered,
5000099,301579,529,2024-07-12,2024-07-12,Shipped,20201.36
5000100,300538,515,2024-10-06,2024-10-12,Shipped,154996.78
5000101,301759,532,2025-09-29,2025-10-01,Shipped,49424.2
5000102,300498,515,2023-08-18,2023-08-27,Cancelled,-2732.53
5000103,300243,521,2022-02-08,2022-02-19,Pending,20286.49
5000104,300244,510,2025-04-25,2025-05-07,Shipped,202969.89
5000105,302274,539,2026-07-20,2026-07-21,Shipped,82805.1
5000106,302594,537,2023-11-14,2023-11-22,Delivered,55500.53
5000107,300669,505,2024-09-14,2024-09-14,Delivered,
5000108,302126,526,2024-01-13,2024-01-25,Shipped,91298.74
5000109,300175,505,2025-10-29,2025-11-05,Cancelled,
5000110,301119,537,2023-09-10,2023-09-14,Shipped,35848.46
5000111,300048,522,2024-06-25,2024-07-03,Pending,48728.6
5000112,301075,526,2024-06-19,2024-06-27,Delivered,-1716.69
5000113,302341,503,2025-08-23,2025-08-25,Returned,75072.24
5000114,300587,502,2026-07-04,2026-07-09,Pending,12504.14
5000115,301766,521,2024-07-12,2024-07-22,Pending,55757.86
5000116,301664,539,2024-10-18,2024-10-27,Shipped,97590.47
5000117,301171,509,2025-12-01,2025-12-11,Returned,105817.42
5000118,302754,534,2025-01-23,2025-01-23,Shipped,2311.93
5000119,300348,525,2022-08-07,2022-08-19,Delivered,87538.23
5000120,300777,539,2025-10-30,2025-11-03,Shipped,27196.41
5000121,301979,503,2026-05-18,2026-05-23,Pending,122568.52
5000122,302801,503,2025-04-02,2025-04-07,Pending,0.0
5000123,300845,510,2021-11-06,2021-11-10,Delivered,
5000124,301599,501,2023-01-15,2023-01-26,Returned,21916.51
5000125,302459,505,2024-06-15,2024-06-16,Delivered,32209.79
5000126,300616,524,2020-12-04,2020-12-07,Cancelled,
5000127,302945,533,2021-09-01,2021-09-07,Pending,223297.54
5000128,300993,509,2023-02-28,2023-03-11,Returned,14502.77
5000129,301058,515,2025-11-18,2025-11-30,Shipped,60636.19
5000130,301152,535,2021-04-06,2021-04-13,Cancelled,
5000131,302790,530,2026-05-05,2026-05-12,Returned,93857.7
5000132,300185,507,2023-12-08,2023-12-14,Cancelled,105685.44
5000133,302016,533,2024-03-04,2024-03-04,Shipped,3547.67
5000134,300617,520,2026-06-06,2026-06-12,Shipped,50160.85
5000135,300890,522,2025-12-10,2025-12-17,Delivered,20633.98
5000136,300523,514,2026-01-24,2026-01-28,Pending,94379.25
5000137,300801,510,2026-06-06,2026-10-06,Cancelled,38427.99
5000138,301340,505,2022-05-12,2022-05-20,Delivered,129674.61
5000139,301357,516,2021-07-09,2021-07-14,Pending,
5000140,302093,511,2026-01-09,,Shipped,84634.23
5000141,301937,525,2024-09-08,2024-09-19,Pending,5551.09
5000142,301226,533,2024-12-20,2024-12-31,Delivered,69138.02
5000143,300851,514,2024-05-15,2024-05-21,Shipped,
5000144,301522,526,2023-10-20,2023-10-30,Returned,243444.22
5000145,302916,517,2024-06-01,2024-06-05,Shipped,4947.85
5000146,300063,525,2026-01-16,2026-01-20,Shipped,40743.8
5000147,301253,530,2023-02-02,2023-02-05,Pending,
5000148,300397,524,2024-01-05,2024-01-08,Pending,106040.51
5000149,300675,528,2026-06-28,2026-07-05,Cancelled,25577.05
5000150,302594,515,2024-12-17,2024-12-26,Delivered,111244.94
5000151,302260,527,2025-05-05,2025-05-16,Pending,122739.81
5000152,302097,504,2024-09-18,2024-09-30,Pending,72364.49
5000153,302487,514,2025-08-27,2025-08-30,Returned,14022.12
5000154,302390,514,2024-09-04,2024-09-06,Delivered,120745.97
5000155,301082,503,2024-04-13,2024-04-20,Shipped,143070.97
5000156,301279,534,2025-05-29,2025-06-04,Pending,43525.56
5000157,302962,517,2025-08-30,,Shipped,100241.54
5000158,301684,523,2025-10-25,2025-10-25,Pending,92943.22
5000159,300664,510,2026-01-19,2026-01-21,Pending,38457.77
5000160,300496,533,2024-12-11,2024-11-20,Pending,92383.4
5000161,301748,514,2025-03-14,2025-03-17,Delivered,
5000162,302638,528,2026-03-01,2026-03-11,Shipped,24018.17
5000163,302704,503,2023-12-29,2024-01-06,Pending,35232.19
5000164,300829,517,2025-11-09,2025-11-14,Shipped,
5000165,300461,520,2025-11-26,2025-08-12,Pending,57088.33
5000166,300485,525,2024-03-21,2024-03-28,Returned,66742.6
5000167,302291,525,2024-05-11,2024-05-19,Delivered,18939.16
5000168,301481,536,2026-06-27,2026-07-08,Pending,
5000169,300301,516,2025-05-16,2025-05-28,Shipped,81382.38
5000170,300793,526,2026-06-20,2026-06-27,Pending,162908.9
5000171,301951,524,2025-06-22,2025-06-27,Cancelled,15182.47
5000172,301265,532,2022-08-22,2022-08-31,Delivered,4172.11
5000173,302244,512,2025-06-06,2025-06-13,Pending,87624.81
5000174,301664,524,2023-04-03,2023-04-03,Shipped,2834.32
5000175,301370,534,2022-09-21,2022-09-25,Shipped,87872.32
5000176,301029,540,2026-01-03,2026-01-04,Delivered,21682.19
5000177,300357,534,2024-01-03,2024-01-04,Returned,23702.07
5000178,301886,520,2023-05-25,2023-06-06,Shipped,148865.16
5000179,301404,515,2025-09-20,2025-09-20,Shipped,112651.33
5000180,301892,515,2025-05-19,2025-05-21,Shipped,4645.72
5000181,300485,512,2024-07-04,2024-04-14,Pending,
5000182,300235,533,2025-05-07,2025-05-16,Returned,100074.02
5000183,301488,507,2025-11-07,2025-11-19,Pending,
5000184,302532,511,2025-04-06,2025-04-13,Returned,70649.61
5000185,302777,530,2024-04-19,2024-04-22,Delivered,
5000186,302402,533,2025-11-12,2025-11-20,Shipped,74858.28
5000187,300258,534,2023-09-19,2023-09-28,Shipped,15317.72
5000188,301962,519,2025-11-23,2025-12-04,Shipped,1186.98
5000189,301122,532,2024-07-20,2024-07-26,Pending,112323.25
5000190,302695,523,2025-09-19,2025-10-01,Delivered,135911.78
5000191,302123,525,2024-06-27,2024-07-01,Pending,146771.72
5000192,300321,523,2025-05-07,2025-05-19,Pending,
5000193,301036,503,2025-02-24,2025-02-26,Cancelled,544.82
5000194,301814,511,2024-06-17,2024-06-17,Shipped,145575.79
5000195,301290,540,2023-07-03,2023-07-03,Delivered,102494.4
5000196,301146,503,2025-05-18,2025-05-25,Cancelled,82421.92
5000197,300814,524,2026-02-27,2026-03-08,Shipped,0.0
5000198,301241,503,2025-08-27,2025-08-31,Pending,4380.24
5000199,300857,518,2023-02-18,2023-02-18,Pending,38162.58
5000200,302894,502,2022-07-04,2022-07-04,Shipped,1486.69
5000201,301479,515,2026-03-25,2026-04-01,Cancelled,
5000202,301194,530,2026-01-14,2026-01-20,Shipped,
5000203,301769,503,2026-07-15,2026-07-17,Returned,8605.87
5000204,300457,539,2024-09-24,2024-09-24,Returned,
5000205,300286,506,2023-07-31,,Shipped,61578.61
5000206,300184,535,2024-05-12,2024-05-21,Returned,
5000207,302425,531,2026-02-03,2026-02-10,Delivered,28997.27
5000208,301750,517,2022-06-16,2022-06-21,Returned,8623.15
5000209,302892,534,2025-06-22,2025-06-27,Pending,68693.22
5000210,301679,512,2022-09-28,2022-09-28,Pending,
5000211,301369,531,2025-05-24,2025-05-25,Shipped,42795.16
5000212,300656,512,2025-04-10,2025-04-21,Shipped,64892.35
5000213,300522,532,2023-10-31,2023-11-05,Returned,84715.47
5000214,302754,514,2023-07-14,2023-07-17,Pending,89265.88
5000215,300037,533,2024-10-09,2024-10-09,Shipped,10308.89
5000216,302627,508,2024-04-22,2024-04-28,Pending,7524.91
5000217,302162,535,2022-05-01,2022-05-05,Cancelled,
5000218,300044,517,2024-08-12,2024-08-24,Delivered,
5000219,302704,501,2023-05-13,2023-05-17,Delivered,132382.66
5000220,302517,513,2024-07-24,2024-07-31,Cancelled,77850.09
5000221,302717,525,2025-09-03,2025-09-07,Shipped,104916.1
5000222,302018,521,2025-12-31,2026-01-08,Returned,115586.03
5000223,300171,536,2025-12-26,2025-12-31,Delivered,23460.65
5000224,300819,503,2025-03-19,2025-03-24,Delivered,
5000225,300633,540,2026-04-03,2026-03-04,Pending,77145.08
5000226,302487,525,2026-01-24,2026-01-24,Pending,102902.13
5000227,301008,526,2025-07-05,2025-07-05,Delivered,20665.86
5000228,301128,512,2023-10-04,2023-10-07,Delivered,
5000229,300881,536,2025-01-14,2025-01-19,Pending,65163.69
5000230,302867,525,2023-12-01,2023-12-03,Delivered,34640.3
5000231,302321,504,2023-01-26,2023-01-31,Pending,15972.54
5000232,300891,523,2025-11-17,2025-11-24,Pending,311095.17
5000233,301110,522,2026-04-27,2026-05-02,Delivered,
5000234,300347,511,2025-08-14,2025-08-24,Returned,858.67
5000235,300539,507,2025-05-13,2025-05-15,Pending,187749.65
5000236,302809,534,2025-03-29,2025-04-08,Delivered,2181.41
5000237,302424,516,2021-03-30,2021-04-07,Delivered,2450.77
5000238,301243,533,2024-12-09,2024-12-10,Returned,131400.11
5000239,302100,519,2026-06-01,2026-06-02,Delivered,42447.48
5000240,302091,509,2024-07-03,2024-07-07,Cancelled,6768.79
5000241,301362,529,2023-07-20,2023-07-26,Delivered,75701.08
5000242,302464,524,2025-07-25,2025-08-02,Pending,
5000243,302720,529,2024-12-27,2025-01-01,Pending,142224.37
5000244,302571,532,2026-04-13,2026-04-22,Shipped,18901.59
5000245,300517,533,2025-09-20,2025-09-24,Cancelled,136832.83
5000246,301977,531,2026-07-11,2026-07-11,Delivered,93873.22
5000247,301492,519,2025-08-26,2025-08-30,Pending,105979.49
5000248,301087,528,2024-02-02,2024-02-05,Shipped,172057.58
5000249,302700,508,2025-05-22,2025-05-27,Delivered,
5000250,300692,528,2025-10-25,2025-03-11,Shipped,40796.55
5000251,300635,532,2024-08-05,2024-08-12,Returned,296053.93
5000252,301507,513,2025-01-24,2025-01-31,Delivered,21034.81
5000253,300229,519,2025-06-07,2025-06-12,Delivered,3971.57
5000254,301457,524,2025-12-24,2026-01-05,Cancelled,92283.42
5000255,300834,531,2023-04-27,2023-05-09,Delivered,75670.08
5000256,300032,538,2024-12-28,2025-01-05,Returned,89898.7
5000257,300823,531,2023-06-07,2023-06-12,Pending,32125.45
5000258,300383,538,2026-02-28,2026-03-06,Cancelled,69136.56
5000259,300281,527,2025-12-16,,Delivered,
5000260,302647,506,2022-12-15,,Cancelled,123904.99
5000261,302447,506,2023-06-18,2023-06-21,Delivered,42283.55
5000262,300136,513,2025-09-26,2025-10-07,Shipped,3739.77
5000263,300996,538,2026-05-30,,Cancelled,
5000264,302226,534,2026-01-19,2026-01-29,Returned,43291.16
5000265,301161,529,2026-06-16,2026-06-28,Shipped,28049.7
5000266,301656,518,2023-05-24,2023-06-05,Returned,25941.55
5000267,302100,512,2025-02-13,2025-02-24,Pending,50286.28
5000268,301140,527,2024-07-19,2024-07-19,Cancelled,70881.39
5000269,302803,532,2023-05-27,2023-06-02,Delivered,67064.69
5000270,302123,536,2022-07-08,2022-07-12,Returned,132548.57
5000271,301590,529,2026-02-24,2026-02-28,Cancelled,5026.2
5000272,302331,516,2025-10-20,2025-10-25,Returned,77531.0
5000273,302678,513,2021-11-26,2021-11-26,Delivered,50627.23
5000274,302276,525,2025-11-06,2025-11-15,Shipped,34844.27
5000275,300499,512,2026-07-22,2026-07-31,Returned,110781.95
5000276,301572,532,2025-10-20,2025-10-20,Pending,53961.67
5000277,302896,504,2025-12-03,2025-12-13,Shipped,64543.85
5000278,302015,534,2024-12-10,2024-12-17,Delivered,27645.65
5000279,301343,525,2025-12-30,2026-01-04,Shipped,5945.93
5000280,302670,530,2025-12-02,2025-10-12,Delivered,137415.99
5000281,300275,526,2024-05-17,2024-05-24,Returned,13626.03
5000282,302465,514,2023-12-06,2023-12-09,Shipped,
5000283,301046,523,2025-04-22,2025-04-26,Returned,
5000284,300619,533,2023-03-28,2023-01-04,Pending,
5000285,300208,521,2022-10-21,2022-10-30,Delivered,1183.44
5000286,301394,524,2025-05-05,2025-05-08,Delivered,62536.69
5000287,300204,506,2025-12-10,2025-12-13,Pending,100046.55
5000288,301734,514,2023-06-21,2023-06-28,Delivered,154548.71
5000289,301144,514,2025-01-04,2025-01-05,Shipped,12685.75
5000290,302012,503,2025-02-23,2025-02-25,Delivered,43615.65
5000291,301881,538,2024-12-31,2025-01-06,Delivered,353908.52
5000292,300544,502,2025-11-09,2025-11-14,Shipped,25385.33
5000293,301188,521,2023-02-11,2023-02-19,Pending,104401.42
5000294,301963,524,2025-03-06,2025-03-06,Pending,
5000295,300446,536,2025-10-27,2025-10-31,Pending,41643.46
5000296,300452,529,2025-04-11,2025-04-13,Pending,
5000297,301156,506,2025-08-25,2025-08-31,Delivered,147377.4
5000298,300719,513,2024-08-18,2024-08-24,Delivered,85735.64
5000299,301715,510,2026-03-05,2026-03-10,Pending,35082.0
5000300,300222,526,2024-06-08,2024-06-15,Shipped,20697.31
5000301,300032,523,2024-03-02,2024-03-12,Delivered,127867.06
5000302,301746,501,2025-10-16,2025-10-17,Shipped,79171.68
5000303,302859,525,2021-12-10,2021-12-21,Cancelled,
5000304,301495,513,2026-05-08,2026-05-11,Delivered,72485.35
5000305,302580,524,2026-05-22,2026-05-26,Shipped,43942.58
5000306,301715,531,2024-12-17,2024-12-24,Cancelled,33864.17
5000307,300132,518,2024-01-18,2024-01-28,Delivered,74359.75
5000308,302573,508,2025-06-03,2025-06-05,Shipped,80196.5
5000309,301323,520,2026-04-10,2026-04-10,Cancelled,27846.33
5000310,301166,524,2025-04-08,2025-04-11,Cancelled,85810.62
5000311,300027,531,2025-05-01,2025-05-06,Delivered,9970.62
5000312,302367,535,2026-04-20,2026-04-21,Cancelled,54305.31
5000313,301847,503,2026-02-04,2026-06-02,Pending,8026.37
5000314,300252,512,2025-02-10,2025-02-21,Cancelled,66344.32
5000315,302571,531,2026-06-22,2026-07-02,Shipped,3209.61
5000316,302168,530,2022-02-24,2022-03-03,Shipped,59911.29
5000317,302022,516,2026-07-27,2026-08-08,Delivered,164707.14
5000318,302809,524,2025-01-15,2025-01-24,Cancelled,6201.75
5000319,301014,532,2023-10-06,2023-10-12,Returned,55095.82
5000320,302961,503,2023-10-23,2023-11-03,Delivered,68266.89
5000321,300612,522,2026-06-17,2026-06-22,Shipped,34296.59
5000322,301511,537,2023-02-02,2023-02-04,Delivered,70805.58
5000323,301743,512,2022-05-15,2022-05-24,Pending,38158.84
5000324,302587,505,2025-03-24,2025-03-30,Shipped,30986.4
5000325,300109,515,2024-06-12,2024-12-06,Delivered,
5000326,302277,530,2022-03-30,,Pending,146369.49
5000327,302047,511,2025-07-29,2025-08-03,Pending,17744.08
5000328,301905,532,2026-10-05,2026-05-22,Pending,
5000329,300550,533,2025-03-10,2025-10-04,Shipped,
5000330,301254,502,2025-08-04,2025-08-11,Delivered,
5000331,301599,508,2026-02-01,2026-01-04,Shipped,
5000332,300839,526,2023-11-30,2023-12-11,Pending,14872.92
5000333,301157,540,2025-07-21,2025-07-21,Returned,21349.82
5000334,302960,527,2025-09-01,2025-09-04,Shipped,-1838.33
5000335,302008,517,2026-04-03,2026-04-07,Delivered,33516.82
5000336,302516,522,2025-04-12,2025-04-16,Shipped,
5000337,302476,538,2025-09-29,2025-09-30,Shipped,27602.95
5000338,302506,504,2024-11-10,2024-11-14,Pending,22918.86
5000339,301563,508,2026-06-07,2026-06-16,Cancelled,44134.14
5000340,300864,516,2025-06-17,2025-06-20,Pending,30546.67
5000341,302281,503,2024-08-07,2024-08-13,Pending,1877.99
5000342,301532,516,2024-12-06,2024-11-12,Pending,31900.62
5000343,301039,533,2025-04-09,2025-04-11,Cancelled,8462.62
5000344,301190,508,2025-09-24,2025-10-03,Pending,61684.52
5000345,302372,506,2023-10-10,2023-10-17,Delivered,47802.42
5000346,301001,518,2026-07-28,2026-08-09,Delivered,
5000347,301296,531,2023-03-19,2023-03-26,Shipped,112430.23
5000348,301879,514,2024-09-22,2024-09-24,Delivered,
5000349,300846,516,2025-09-21,2025-10-02,Delivered,
5000350,302407,530,2022-04-04,2022-04-13,Shipped,-9301.99
5000351,302423,529,2024-08-12,2024-12-14,Shipped,230913.12
5000352,302195,530,2025-01-10,2025-01-22,Delivered,455.92
5000353,301638,518,2026-06-12,2026-06-21,Shipped,141306.4
5000354,300248,502,2023-08-13,2023-08-20,Returned,86013.18
5000355,302549,523,2022-10-22,2022-10-31,Shipped,64583.44
5000356,302504,508,2025-04-18,2025-04-20,Cancelled,
5000357,301515,521,2026-02-14,2026-02-18,Shipped,820.21
5000358,300413,521,2024-10-05,2024-10-05,Delivered,31376.0
5000359,301621,506,2023-11-20,2023-11-26,Pending,205741.97
5000360,301575,520,2025-06-10,2025-06-15,Pending,20124.91
5000361,300014,508,2024-02-13,2024-02-18,Pending,122029.21
5000362,300591,516,2025-11-09,2025-11-09,Pending,8638.54
5000363,301009,515,2024-01-15,2024-01-21,Delivered,25729.29
5000364,301062,504,2024-08-23,2024-08-23,Cancelled,29484.04
5000365,302338,505,2026-02-23,2026-03-04,Shipped,21274.77
5000366,300778,509,2023-09-04,2023-09-14,Delivered,28580.11
5000367,300699,519,2024-06-21,2024-06-28,Delivered,37476.52
5000368,301787,506,2023-12-05,2023-12-10,Shipped,99301.38
5000369,301606,501,2023-06-15,2023-06-20,Shipped,81001.22
5000370,301347,521,2026-01-06,2026-01-13,Pending,75362.13
5000371,302248,537,2022-10-14,2022-10-19,Pending,115234.94
5000372,300351,508,2026-01-01,2026-02-01,Shipped,56447.4
5000373,301189,519,2022-04-16,,Shipped,57441.9
5000374,302365,513,2025-12-14,2025-12-18,Pending,14759.09
5000375,300024,511,2023-06-29,2023-06-29,Pending,113359.7
5000376,300212,533,2025-08-12,2025-08-23,Shipped,102077.88
5000377,301652,540,2025-05-24,2025-05-25,Shipped,0.0
5000378,301013,525,2024-09-28,2024-10-08,Shipped,
5000379,301706,518,2025-11-08,2025-08-20,Shipped,8925.34
5000380,302293,502,2025-02-19,2025-02-20,Cancelled,190445.77
5000381,300420,526,2024-11-23,2024-12-01,Cancelled,24904.87
5000382,301188,535,2022-12-06,2022-12-17,Pending,49727.22
5000383,302976,517,2026-07-30,2026-08-05,Pending,218590.09
5000384,300042,521,2022-06-18,2022-06-30,Pending,19943.43
5000385,300162,531,2025-04-11,2025-04-15,Cancelled,23950.26
5000386,302670,535,2026-07-14,2026-07-25,Shipped,211168.94
5000387,301925,504,2025-06-10,2025-06-21,Pending,37189.14
5000388,300550,503,2024-11-19,2024-11-24,Delivered,
5000389,300084,514,2023-06-01,2023-06-13,Pending,49715.74
5000390,301162,509,2024-11-02,2024-11-04,Shipped,42007.78
5000391,301790,538,2023-01-21,2023-01-27,Cancelled,62398.01
5000392,302380,521,2026-01-05,2026-01-08,Cancelled,129868.41
5000393,301562,513,2026-04-17,2026-04-27,Shipped,
5000394,302114,531,2025-01-10,2025-01-21,Cancelled,151236.36
5000395,301443,515,2026-02-15,2026-02-24,Shipped,
5000396,300331,538,2025-05-19,2025-05-29,Returned,
5000397,302897,504,2025-06-26,2025-07-03,Delivered,95808.36
5000398,302031,524,2026-01-20,,Returned,102430.32
5000399,302320,537,2023-06-21,2023-03-07,Pending,266668.63
5000400,301548,527,2026-07-16,2026-07-22,Delivered,59948.96
5000401,301333,523,2024-10-19,2024-10-31,Delivered,48549.41
5000402,301139,511,2026-03-24,2026-03-29,Cancelled,76757.34
5000403,300774,503,2025-06-11,2025-11-15,Cancelled,59337.09
5000404,302702,523,2024-11-20,2024-12-01,Delivered,70145.09
5000405,302444,532,2025-03-06,2025-03-07,Shipped,59970.09
5000406,300940,523,2025-03-26,2025-03-26,Delivered,45728.52
5000407,301032,532,2022-04-16,2022-04-18,Pending,20131.14
5000408,300162,512,2023-11-17,2023-11-25,Cancelled,92650.4
5000409,301448,529,2024-09-14,2024-09-25,Shipped,82603.41
5000410,300661,521,2024-07-07,2024-07-13,Cancelled,58056.94
5000411,300289,520,2022-02-17,2022-02-20,Delivered,7314.64
5000412,302192,526,2026-06-21,2026-06-24,Delivered,112548.77
5000413,302382,502,2023-09-02,,Shipped,
5000414,302087,516,2023-11-06,2023-11-10,Shipped,3214.5
5000415,302776,503,2021-11-16,2021-11-24,Delivered,22024.54
5000416,302229,529,2023-07-16,,Shipped,26583.72
5000417,300257,536,2025-07-02,2025-07-09,Pending,73932.32
5000418,300264,537,2023-06-30,2023-07-07,Cancelled,25935.2
5000419,302723,502,2025-09-04,2025-09-14,Cancelled,24110.45
5000420,302967,520,2023-05-03,2023-03-06,Delivered,259404.81
5000421,301206,501,2025-08-24,2025-09-03,Delivered,60361.63
5000422,301501,530,2023-03-13,2023-03-15,Pending,71955.82
5000423,302805,509,2026-07-12,2026-07-21,Pending,56600.65
5000424,300535,532,2023-12-06,2023-12-18,Pending,13415.28
5000425,302012,531,2026-03-19,2026-03-24,Pending,51522.04
5000426,301904,505,2026-03-05,2026-03-08,Pending,2590.68
5000427,302635,503,2024-07-25,2024-08-01,Shipped,182048.03
5000428,302405,521,2023-09-12,2023-09-20,Shipped,3658.9
5000429,302643,530,2026-06-17,2026-06-20,Delivered,8656.84
5000430,302043,526,2026-06-04,2026-06-15,Shipped,65778.5
5000431,301425,521,2025-07-13,2025-07-22,Delivered,
5000432,300977,526,2026-01-07,2026-01-07,Returned,82196.3
5000433,302462,516,2024-07-24,2024-07-31,Shipped,60895.66
5000434,300934,521,2026-02-10,2026-02-17,Shipped,43898.54
5000435,301455,530,2022-11-13,2022-11-17,Delivered,0.0
5000436,302945,515,2022-11-21,2022-11-25,Delivered,73941.28
5000437,301844,538,2026-01-30,2026-02-06,Pending,33334.75
