date_key,date,year,quarter,month,month_name,month_year,week,day,day_name,day_of_week,is_weekend
20201013,13-10-2020,2020,Q4,10,October,2020-10,42,13,Tuesday,2,FALSE
20201014,14-10-2020,2020,Q4,10,October,2020-10,42,14,Wednesday,3,FALSE
20201015,15-10-2020,2020,Q4,10,October,2020-10,42,15,Thursday,4,FALSE
20201016,16-10-2020,2020,Q4,10,October,2020-10,42,16,Friday,5,FALSE
20201017,17-10-2020,2020,Q4,10,October,2020-10,42,17,Saturday,6,TRUE
20201018,18-10-2020,2020,Q4,10,October,2020-10,42,18,Sunday,7,TRUE
20201019,19-10-2020,2020,Q4,10,October,2020-10,43,19,Monday,1,FALSE
20201020,20-10-2020,2020,Q4,10,October,2020-10,43,20,Tuesday,2,FALSE
20201021,21-10-2020,2020,Q4,10,October,2020-10,43,21,Wednesday,3,FALSE
20201022,22-10-2020,2020,Q4,10,October,2020-10,43,22,Thursday,4,FALSE
20201023,23-10-2020,2020,Q4,10,October,2020-10,43,23,Friday,5,FALSE
20201024,24-10-2020,2020,Q4,10,October,2020-10,43,24,Saturday,6,TRUE
20201025,25-10-2020,2020,Q4,10,October,2020-10,43,25,Sunday,7,TRUE
20201026,26-10-2020,2020,Q4,10,October,2020-10,44,26,Monday,1,FALSE
20201027,27-10-2020,2020,Q4,10,October,2020-10,44,27,Tuesday,2,FALSE
20201028,28-10-2020,2020,Q4,10,October,2020-10,44,28,Wednesday,3,FALSE
20201029,29-10-2020,2020,Q4,10,October,2020-10,44,29,Thursday,4,FALSE
20201030,30-10-2020,2020,Q4,10,October,2020-10,44,30,Friday,5,FALSE
20201031,31-10-2020,2020,Q4,10,October,2020-10,44,31,Saturday,6,TRUE
20201101,01-11-2020,2020,Q4,11,November,2020-11,44,1,Sunday,7,TRUE
20201102,02-11-2020,2020,Q4,11,November,2020-11,45,2,Monday,1,FALSE
20201103,03-11-2020,2020,Q4,11,November,2020-11,45,3,Tuesday,2,FALSE
20201104,04-11-2020,2020,Q4,11,November,2020-11,45,4,Wednesday,3,FALSE
20201105,05-11-2020,2020,Q4,11,November,2020-11,45,5,Thursday,4,FALSE
20201106,06-11-2020,2020,Q4,11,November,2020-11,45,6,Friday,5,FALSE
20201107,07-11-2020,2020,Q4,11,November,2020-11,45,7,Saturday,6,TRUE
20201108,08-11-2020,2020,Q4,11,November,2020-11,45,8,Sunday,7,TRUE
20201109,09-11-2020,2020,Q4,11,November,2020-11,46,9,Monday,1,FALSE
20201110,10-11-2020,2020,Q4,11,November,2020-11,46,10,Tuesday,2,FALSE
20201111,11-11-2020,2020,Q4,11,November,2020-11,46,11,Wednesday,3,FALSE
20201112,12-11-2020,2020,Q4,11,November,2020-11,46,12,Thursday,4,FALSE
20201113,13-11-2020,2020,Q4,11,November,2020-11,46,13,Friday,5,FALSE
20201114,14-11-2020,2020,Q4,11,November,2020-11,46,14,Saturday,6,TRUE
20201115,15-11-2020,2020,Q4,11,November,2020-11,46,15,Sunday,7,TRUE
20201116,16-11-2020,2020,Q4,11,November,2020-11,47,16,Monday,1,FALSE
20201117,17-11-2020,2020,Q4,11,November,2020-11,47,17,Tuesday,2,FALSE
20201118,18-11-2020,2020,Q4,11,November,2020-11,47,18,Wednesday,3,FALSE
20201119,19-11-2020,2020,Q4,11,November,2020-11,47,19,Thursday,4,FALSE
20201120,20-11-2020,2020,Q4,11,November,2020-11,47,20,Friday,5,FALSE
20201121,21-11-2020,2020,Q4,11,November,2020-11,47,21,Saturday,6,TRUE
20201122,22-11-2020,2020,Q4,11,November,2020-11,47,22,Sunday,7,TRUE
20201123,23-11-2020,2020,Q4,11,November,2020-11,48,23,Monday,1,FALSE
20201124,24-11-2020,2020,Q4,11,November,2020-11,48,24,Tuesday,2,FALSE
20201125,25-11-2020,2020,Q4,11,November,2020-11,48,25,Wednesday,3,FALSE
20201126,26-11-2020,2020,Q4,11,November,2020-11,48,26,Thursday,4,FALSE
20201127,27-11-2020,2020,Q4,11,November,2020-11,48,27,Friday,5,FALSE
20201128,28-11-2020,2020,Q4,11,November,2020-11,48,28,Saturday,6,TRUE
20201129,29-11-2020,2020,Q4,11,November,2020-11,48,29,Sunday,7,TRUE
20201130,30-11-2020,2020,Q4,11,November,2020-11,49,30,Monday,1,FALSE
20201201,01-12-2020,2020,Q4,12,December,2020-12,49,1,Tuesday,2,FALSE
20201202,02-12-2020,2020,Q4,12,December,2020-12,49,2,Wednesday,3,FALSE
20201203,03-12-2020,2020,Q4,12,December,2020-12,49,3,Thursday,4,FALSE
20201204,04-12-2020,2020,Q4,12,December,2020-12,49,4,Friday,5,FALSE
20201205,05-12-2020,2020,Q4,12,December,2020-12,49,5,Saturday,6,TRUE
20201206,06-12-2020,2020,Q4,12,December,2020-12,49,6,Sunday,7,TRUE
20201207,07-12-2020,2020,Q4,12,December,2020-12,50,7,Monday,1,FALSE
20201208,08-12-2020,2020,Q4,12,December,2020-12,50,8,Tuesday,2,FALSE
20201209,09-12-2020,2020,Q4,12,December,2020-12,50,9,Wednesday,3,FALSE
20201210,10-12-2020,2020,Q4,12,December,2020-12,50,10,Thursday,4,FALSE
20201211,11-12-2020,2020,Q4,12,December,2020-12,50,11,Friday,5,FALSE
20201212,12-12-2020,2020,Q4,12,December,2020-12,50,12,Saturday,6,TRUE
20201213,13-12-2020,2020,Q4,12,December,2020-12,50,13,Sunday,7,TRUE
20201214,14-12-2020,2020,Q4,12,December,2020-12,51,14,Monday,1,FALSE
20201215,15-12-2020,2020,Q4,12,December,2020-12,51,15,Tuesday,2,FALSE
20201216,16-12-2020,2020,Q4,12,December,2020-12,51,16,Wednesday,3,FALSE
20201217,17-12-2020,2020,Q4,12,December,2020-12,51,17,Thursday,4,FALSE
20201218,18-12-2020,2020,Q4,12,December,2020-12,51,18,Friday,5,FALSE
20201219,19-12-2020,2020,Q4,12,December,2020-12,51,19,Saturday,6,TRUE
20201220,20-12-2020,2020,Q4,12,December,2020-12,51,20,Sunday,7,TRUE
20201221,21-12-2020,2020,Q4,12,December,2020-12,52,21,Monday,1,FALSE
20201222,22-12-2020,2020,Q4,12,December,2020-12,52,22,Tuesday,2,FALSE
20201223,23-12-2020,2020,Q4,12,December,2020-12,52,23,Wednesday,3,FALSE
20201224,24-12-2020,2020,Q4,12,December,2020-12,52,24,Thursday,4,FALSE
20201225,25-12-2020,2020,Q4,12,December,2020-12,52,25,Friday,5,FALSE
20201226,26-12-2020,2020,Q4,12,December,2020-12,52,26,Saturday,6,TRUE
20201227,27-12-2020,2020,Q4,12,December,2020-12,52,27,Sunday,7,TRUE
20201228,28-12-2020,2020,Q4,12,December,2020-12,53,28,Monday,1,FALSE
