inventory_id,warehouse_id,product_id,warehouse_name,location,capacity_units,product_name,category,unit_price,is_active,stock_quantity,reorder_level,last_restock_date,stock_status,restock_date_status,business_key_status,inventory_key_status
700038,501,20116,Christophershire Distribution Center,India,599758,Object-based uniform challenge,Groceries,2338.14,Y,1164,109,30-07-2026,Above Reorder Level,Valid,Unique,Valid
700039,501,21005,Christophershire Distribution Center,India,599758,Mandatory real-time interface,Sporting Goods,1485.82,,13057,422,09-01-2026,Above Reorder Level,Valid,Unique,Valid
700040,501,20540,Christophershire Distribution Center,India,599758,Organized attitude-oriented productivity,Pharmaceuticals,,N,6570,144,11-12-2025,Above Reorder Level,Valid,Unique,Valid
700041,501,21436,Christophershire Distribution Center,India,599758,Visionary human-resource help-desk,Electronics,617.97,Y,1474,155,14-05-2026,Above Reorder Level,Valid,Unique,Valid
700042,501,20584,Christophershire Distribution Center,India,599758,Universal directional emulation,Electronics,2104,N,7742,83,27-02-2026,Above Reorder Level,Valid,Unique,Valid
700043,501,20554,Christophershire Distribution Center,India,599758,Cloned exuding array,Groceries,1695.91,Y,396,31,23-02-2026,Above Reorder Level,Valid,Unique,Valid
700044,501,20555,Christophershire Distribution Center,India,599758,Object-based tangible capability,Office Supplies,1653.38,N,27188,,13-12-2025,Cannot Determine,Valid,Unique,Valid
700045,501,20852,Christophershire Distribution Center,India,599758,Universal stable benchmark,Toys,1057.96,Y,,332,29-07-2026,Cannot Determine,Valid,Unique,Valid
700046,501,21337,Christophershire Distribution Center,India,599758,Re-contextualized analyzing utilization,Office Supplies,2452.57,Y,12303,342,25-03-2026,Above Reorder Level,Valid,Unique,Valid
700047,501,20453,Christophershire Distribution Center,India,599758,Open-source attitude-oriented array,Industrial Equipment,144.09,Y,4231,452,05-12-2025,Above Reorder Level,Valid,Unique,Valid
700048,501,20976,Christophershire Distribution Center,India,599758,User-friendly demand-driven synergy,Furniture,614.8,Y,8315,,02-04-2026,Cannot Determine,Valid,Unique,Valid
700049,501,20236,Christophershire Distribution Center,India,599758,Decentralized grid-enabled array,Furniture,1678.9,N,8962,100,12-09-2025,Above Reorder Level,Valid,Unique,Valid
700050,501,20040,Christophershire Distribution Center,India,599758,Centralized hybrid firmware,Pharmaceuticals,1644.69,N,2315,243,03-02-2026,Above Reorder Level,Valid,Unique,Valid
700051,501,21103,Christophershire Distribution Center,India,599758,Synergistic zero tolerance circuit,Furniture,1217.62,Y,39561,,22-06-2026,Cannot Determine,Valid,Unique,Valid
700052,501,20210,Christophershire Distribution Center,India,599758,Multi-tiered exuding infrastructure,Automotive Parts,2458.86,Y,16902,354,17-09-2025,Above Reorder Level,Valid,Unique,Valid
700053,501,20315,Christophershire Distribution Center,India,599758,Team-oriented systematic infrastructure,Electronics,1742.94,,31772,383,03-09-2025,Above Reorder Level,Valid,Unique,Valid
700054,501,20395,Christophershire Distribution Center,India,599758,Self-enabling static encryption,Industrial Equipment,2020.33,N,25509,402,26-03-2026,Above Reorder Level,Valid,Unique,Valid
700055,501,21449,Christophershire Distribution Center,India,599758,Multi-lateral 24hour database,Furniture,107.9,Y,10319,,16-07-2026,Cannot Determine,Valid,Unique,Valid
700056,501,21272,Christophershire Distribution Center,India,599758,Ameliorated clear-thinking collaboration,Industrial Equipment,2139.23,N,28876,180,04-08-2026,Above Reorder Level,Valid,Unique,Valid
700057,501,20122,Christophershire Distribution Center,India,599758,Right-sized bottom-line throughput,Groceries,1623.65,N,1049,256,20-01-2026,Above Reorder Level,Valid,Unique,Valid
700058,501,20220,Christophershire Distribution Center,India,599758,User-friendly high-level Internet solution,Automotive Parts,829,Y,2471,269,18-03-2026,Above Reorder Level,Valid,Unique,Valid
700059,501,20773,Christophershire Distribution Center,India,599758,Public-key exuding Graphic Interface,Pharmaceuticals,574.07,Y,524,201,16-10-2025,Above Reorder Level,Valid,Unique,Valid
700060,501,20444,Christophershire Distribution Center,India,599758,Focused grid-enabled framework,Furniture,1956.75,Y,4457,355,29-05-2026,Above Reorder Level,Valid,Unique,Valid
700061,501,21000,Christophershire Distribution Center,India,599758,Reduced 6thgeneration attitude,Electronics,134.74,N,5574,299,14-02-2026,Above Reorder Level,Valid,Unique,Valid
700062,501,21211,Christophershire Distribution Center,India,599758,Compatible upward-trending encoding,Automotive Parts,1878.97,Y,3586,413,22-06-2026,Above Reorder Level,Valid,Unique,Valid
700063,501,20099,Christophershire Distribution Center,India,599758,Horizontal secondary complexity,Electronics,1480.56,N,19986,228,20-06-2026,Above Reorder Level,Valid,Unique,Valid
700064,501,20488,Christophershire Distribution Center,India,599758,Virtual local secured line,Sporting Goods,342.98,Y,4998,263,28-02-2026,Above Reorder Level,Valid,Unique,Valid
700065,501,21059,Christophershire Distribution Center,India,599758,Multi-layered clear-thinking functionalities,Industrial Equipment,1096.01,Y,3736,93,05-04-2026,Above Reorder Level,Valid,Unique,Valid
700066,501,20365,Christophershire Distribution Center,India,599758,Fundamental heuristic service-desk,Groceries,602.42,Y,8862,80,14-06-2026,Above Reorder Level,Valid,Unique,Valid
700067,501,21306,Christophershire Distribution Center,India,599758,Horizontal methodical focus group,Office Supplies,975.65,Y,1720,320,25-06-2026,Above Reorder Level,Valid,Unique,Valid
700068,501,20204,Christophershire Distribution Center,India,599758,Cross-platform next generation approach,Industrial Equipment,260.68,Y,18354,296,24-03-2026,Above Reorder Level,Valid,Unique,Valid
700069,501,20003,Christophershire Distribution Center,India,599758,Up-sized modular focus group,Pharmaceuticals,523.8,N,878,,27-07-2026,Cannot Determine,Valid,Unique,Valid
700070,501,20934,Christophershire Distribution Center,India,599758,Upgradable context-sensitive extranet,Office Supplies,1165.76,N,49091,343,13-07-2026,Above Reorder Level,Valid,Unique,Valid
700071,501,21134,Christophershire Distribution Center,India,599758,Progressive mobile architecture,Automotive Parts,631.56,N,16757,125,27-04-2026,Above Reorder Level,Valid,Unique,Valid
700072,501,20093,Christophershire Distribution Center,India,599758,Exclusive high-level Local Area Network,Office Supplies,819.6,Y,2509,354,17-01-2026,Above Reorder Level,Valid,Unique,Valid
700073,501,20835,Christophershire Distribution Center,India,599758,Inverse static synergy,Pharmaceuticals,541.67,N,63,17,01-04-2026,Above Reorder Level,Valid,Unique,Valid
700074,501,21180,Christophershire Distribution Center,India,599758,Managed zero-defect flexibility,Sporting Goods,2004.12,Y,19141,271,21-10-2025,Above Reorder Level,Valid,Unique,Valid
700075,501,20026,Christophershire Distribution Center,India,599758,Ameliorated well-modulated alliance,Toys,671.39,Y,13899,60,09-08-2025,Above Reorder Level,Valid,Unique,Valid
700076,502,21159,North Leonardport Distribution Center,United Kingdom,188058,Reactive didactic parallelism,Groceries,2177.54,Y,2758,,06-07-2026,Cannot Determine,Valid,Unique,Valid
700077,502,20450,North Leonardport Distribution Center,United Kingdom,188058,Reduced content-based time-frame,Apparel,677.27,Y,3117,200,08-09-2025,Above Reorder Level,Valid,Unique,Valid
700078,502,20557,North Leonardport Distribution Center,United Kingdom,188058,Grass-roots intermediate database,Pharmaceuticals,960.31,N,163,360,27-10-2025,Below Reorder Level,Valid,Unique,Valid
700079,502,21086,North Leonardport Distribution Center,United Kingdom,188058,Ameliorated neutral infrastructure,Industrial Equipment,948.34,Y,938,140,09-01-2026,Above Reorder Level,Valid,Unique,Valid
700080,502,20894,North Leonardport Distribution Center,United Kingdom,188058,Optimized web-enabled encryption,Sporting Goods,1899.66,N,,191,23-06-2026,Cannot Determine,Valid,Unique,Valid
700081,502,21061,North Leonardport Distribution Center,United Kingdom,188058,Adaptive fault-tolerant approach,Furniture,2183.39,Y,4201,337,07-01-2026,Above Reorder Level,Valid,Unique,Valid
700082,502,20391,North Leonardport Distribution Center,United Kingdom,188058,Phased global forecast,Office Supplies,1896.59,N,2063,439,11-11-2025,Above Reorder Level,Valid,Unique,Valid
700083,502,20580,North Leonardport Distribution Center,United Kingdom,188058,User-friendly 3rdgeneration task-force,Furniture,2211.64,N,849,32,06-02-2026,Above Reorder Level,Valid,Unique,Valid
700084,502,20339,North Leonardport Distribution Center,United Kingdom,188058,Pre-emptive discrete structure,Furniture,1408.74,N,139,208,03-10-2025,Below Reorder Level,Valid,Unique,Valid
700085,502,21482,North Leonardport Distribution Center,United Kingdom,188058,Cross-group multi-state implementation,Industrial Equipment,760.86,N,787,83,05-02-2026,Above Reorder Level,Valid,Unique,Valid
700086,502,20459,North Leonardport Distribution Center,United Kingdom,188058,Object-based empowering paradigm,Apparel,1789.07,Y,831,164,28-03-2026,Above Reorder Level,Valid,Unique,Valid
700087,502,20763,North Leonardport Distribution Center,United Kingdom,188058,Optimized zero administration standardization,Office Supplies,111.94,N,2763,348,28-08-2026,Above Reorder Level,Valid,Unique,Valid
700088,502,20501,North Leonardport Distribution Center,United Kingdom,188058,Ergonomic regional moratorium,Automotive Parts,883.07,N,2144,159,09-07-2026,Above Reorder Level,Valid,Unique,Valid
700089,502,20410,North Leonardport Distribution Center,United Kingdom,188058,Self-enabling transitional website,Furniture,1597.85,N,4610,403,25-06-2026,Above Reorder Level,Valid,Unique,Valid
700090,502,21152,North Leonardport Distribution Center,United Kingdom,188058,Pre-emptive system-worthy functionalities,Automotive Parts,2363.83,N,1350,187,21-10-2025,Above Reorder Level,Valid,Unique,Valid
700091,502,20801,North Leonardport Distribution Center,United Kingdom,188058,Profit-focused transitional software,Pharmaceuticals,43.54,Y,269,,19-04-2026,Cannot Determine,Valid,Unique,Valid
700092,502,20442,North Leonardport Distribution Center,United Kingdom,188058,Re-contextualized transitional product,Apparel,318.8,N,2639,442,12-01-2025,Above Reorder Level,Valid,Unique,Valid
700093,502,20594,North Leonardport Distribution Center,United Kingdom,188058,Re-contextualized context-sensitive architecture,Groceries,1753.75,Y,3022,229,11-09-2025,Above Reorder Level,Valid,Unique,Valid
700094,502,21279,North Leonardport Distribution Center,United Kingdom,188058,Configurable well-modulated interface,Furniture,1038.99,Y,,22,25-03-2026,Cannot Determine,Valid,Unique,Valid
700095,502,20240,North Leonardport Distribution Center,United Kingdom,188058,Reduced didactic paradigm,Apparel,1614.59,N,3114,393,23-01-2026,Above Reorder Level,Valid,Unique,Valid
700096,502,21457,North Leonardport Distribution Center,United Kingdom,188058,Devolved bottom-line standardization,Automotive Parts,,N,1438,173,19-10-2025,Above Reorder Level,Valid,Unique,Valid
700097,502,21384,North Leonardport Distribution Center,United Kingdom,188058,Ameliorated fault-tolerant complexity,Groceries,2497.85,N,1563,378,02-05-2026,Above Reorder Level,Valid,Unique,Valid
700098,502,20745,North Leonardport Distribution Center,United Kingdom,188058,Exclusive systematic groupware,Groceries,1297.29,Y,1178,54,23-07-2026,Above Reorder Level,Valid,Unique,Valid
700099,502,20797,North Leonardport Distribution Center,United Kingdom,188058,Expanded fault-tolerant Internet solution,Pharmaceuticals,1184.13,N,54,215,10-08-2025,Below Reorder Level,Valid,Unique,Valid
700100,502,20259,North Leonardport Distribution Center,United Kingdom,188058,Compatible neutral portal,Industrial Equipment,1190.72,Y,241,264,21-02-2026,Below Reorder Level,Valid,Unique,Valid
700101,502,20004,North Leonardport Distribution Center,United Kingdom,188058,Virtual transitional throughput,Sporting Goods,1867.7,Y,67,447,12-11-2025,Below Reorder Level,Valid,Unique,Valid
700102,502,21458,North Leonardport Distribution Center,United Kingdom,188058,Triple-buffered client-server implementation,Toys,1145.8,N,2137,202,08-05-2026,Above Reorder Level,Valid,Unique,Valid
700103,502,21338,North Leonardport Distribution Center,United Kingdom,188058,Team-oriented content-based support,Office Supplies,1794.48,N,797,73,10-06-2026,Above Reorder Level,Valid,Unique,Valid
700104,502,20158,North Leonardport Distribution Center,United Kingdom,188058,Assimilated well-modulated application,Office Supplies,257.58,N,1501,292,18-11-2025,Above Reorder Level,Valid,Unique,Valid
700105,502,21113,North Leonardport Distribution Center,United Kingdom,188058,Team-oriented radical conglomeration,Furniture,1578.3,Y,5031,45,14-01-2026,Above Reorder Level,Valid,Unique,Valid
700106,502,21360,North Leonardport Distribution Center,United Kingdom,188058,Self-enabling real-time hub,Sporting Goods,1227.18,N,606,353,25-04-2026,Above Reorder Level,Valid,Unique,Valid
700107,502,20543,North Leonardport Distribution Center,United Kingdom,188058,Down-sized zero tolerance encryption,Office Supplies,2310.73,N,1116,49,23-11-2025,Above Reorder Level,Valid,Unique,Valid
700108,502,21302,North Leonardport Distribution Center,United Kingdom,188058,Operative dynamic functionalities,Furniture,488.81,Y,2976,,07-05-2026,Cannot Determine,Valid,Unique,Valid
700109,502,21442,North Leonardport Distribution Center,United Kingdom,188058,Proactive national monitoring,Apparel,2390.35,,549,399,05-11-2026,Above Reorder Level,Future Restock Date,Unique,Valid
700110,502,21459,North Leonardport Distribution Center,United Kingdom,188058,Upgradable 4thgeneration standardization,Apparel,196.03,N,169,80,01-04-2026,Above Reorder Level,Valid,Unique,Valid
700111,502,20070,North Leonardport Distribution Center,United Kingdom,188058,Compatible national data-warehouse,Pharmaceuticals,627.47,Y,723,193,29-11-2025,Above Reorder Level,Valid,Unique,Valid
700112,502,20648,North Leonardport Distribution Center,United Kingdom,188058,Universal asymmetric parallelism,Groceries,718.32,Y,371,278,20-04-2026,Above Reorder Level,Valid,Unique,Valid
700113,502,20118,North Leonardport Distribution Center,United Kingdom,188058,User-centric motivating capability,Sporting Goods,774.01,N,5609,475,05-03-2026,Above Reorder Level,Valid,Unique,Valid
700114,502,20509,North Leonardport Distribution Center,United Kingdom,188058,Organic attitude-oriented workforce,Sporting Goods,884.1,Y,3488,11,13-03-2026,Above Reorder Level,Valid,Unique,Valid
700115,502,20778,North Leonardport Distribution Center,United Kingdom,188058,Object-based homogeneous database,Pharmaceuticals,201.88,N,2120,369,12-08-2026,Above Reorder Level,Valid,Unique,Valid
700116,502,20940,North Leonardport Distribution Center,United Kingdom,188058,Distributed content-based ability,Toys,498.12,N,4334,289,09-08-2026,Above Reorder Level,Valid,Unique,Valid
700117,502,21372,North Leonardport Distribution Center,United Kingdom,188058,Self-enabling scalable portal,Furniture,2057.55,Y,3439,415,15-02-2026,Above Reorder Level,Valid,Unique,Valid
700118,502,20246,North Leonardport Distribution Center,United Kingdom,188058,Synergized systemic capability,Electronics,2348.06,Y,436,120,28-03-2026,Above Reorder Level,Valid,Unique,Valid
700119,502,21127,North Leonardport Distribution Center,United Kingdom,188058,Networked mission-critical project,Office Supplies,38.82,Y,4713,384,26-10-2025,Above Reorder Level,Valid,Unique,Valid
700120,502,21499,North Leonardport Distribution Center,United Kingdom,188058,Ergonomic neutral customer loyalty,Groceries,2201.2,N,1638,79,04-08-2026,Above Reorder Level,Valid,Unique,Valid
700121,502,20529,North Leonardport Distribution Center,United Kingdom,188058,Proactive multimedia system engine,Electronics,894.75,N,3480,196,03-02-2026,Above Reorder Level,Valid,Unique,Valid
700122,502,21056,North Leonardport Distribution Center,United Kingdom,188058,Customizable background Graphical User Interface,Groceries,1197.97,N,4784,143,14-06-2026,Above Reorder Level,Valid,Unique,Valid
700123,502,20448,North Leonardport Distribution Center,United Kingdom,188058,Programmable user-facing encryption,Office Supplies,658.04,N,809,440,01-03-2026,Above Reorder Level,Valid,Unique,Valid
700124,502,20168,North Leonardport Distribution Center,United Kingdom,188058,Open-source foreground knowledge user,Sporting Goods,2232.33,Y,246,345,30-07-2026,Below Reorder Level,Valid,Unique,Valid
700125,502,20210,North Leonardport Distribution Center,United Kingdom,188058,Multi-tiered exuding infrastructure,Automotive Parts,2458.86,Y,547,276,27-03-2026,Above Reorder Level,Valid,Unique,Valid
700126,502,20807,North Leonardport Distribution Center,United Kingdom,188058,Persistent object-oriented analyzer,Apparel,1665.5,N,1177,91,23-05-2026,Above Reorder Level,Valid,Unique,Valid
700127,502,20370,North Leonardport Distribution Center,United Kingdom,188058,Face-to-face mobile firmware,Industrial Equipment,1514.8,N,3600,250,01-01-2026,Above Reorder Level,Valid,Unique,Valid
700128,502,20831,North Leonardport Distribution Center,United Kingdom,188058,Multi-tiered global synergy,Apparel,1632.3,N,4165,77,19-06-2026,Above Reorder Level,Valid,Unique,Valid
700129,502,20012,North Leonardport Distribution Center,United Kingdom,188058,Proactive discrete product,Electronics,1768.51,N,15,147,09-04-2026,Below Reorder Level,Valid,Unique,Valid
700130,502,21142,North Leonardport Distribution Center,United Kingdom,188058,De-engineered object-oriented database,Sporting Goods,,Y,1510,434,31-05-2026,Above Reorder Level,Valid,Unique,Valid
700131,502,21115,North Leonardport Distribution Center,United Kingdom,188058,Vision-oriented system-worthy utilization,Automotive Parts,548.89,Y,1141,353,07-01-2026,Above Reorder Level,Valid,Unique,Valid
700132,502,20453,North Leonardport Distribution Center,United Kingdom,188058,Open-source attitude-oriented array,Industrial Equipment,144.09,Y,531,227,16-04-2026,Above Reorder Level,Valid,Unique,Valid
700133,502,21081,North Leonardport Distribution Center,United Kingdom,188058,Expanded upward-trending workforce,Automotive Parts,153.91,Y,270,16,05-07-2026,Above Reorder Level,Valid,Unique,Valid
700134,502,21431,North Leonardport Distribution Center,United Kingdom,188058,Networked local success,Pharmaceuticals,2275.55,N,870,,26-05-2026,Cannot Determine,Valid,Unique,Valid
700135,502,21493,North Leonardport Distribution Center,United Kingdom,188058,Customer-focused asynchronous hierarchy,Toys,,Y,6049,281,17-07-2026,Above Reorder Level,Valid,Unique,Valid
700136,502,20627,North Leonardport Distribution Center,United Kingdom,188058,Virtual bandwidth-monitored product,Sporting Goods,35.23,N,825,401,02-11-2025,Above Reorder Level,Valid,Unique,Valid
700137,502,20667,North Leonardport Distribution Center,United Kingdom,188058,Cloned global core,Electronics,736.37,Y,1545,304,23-05-2026,Above Reorder Level,Valid,Unique,Valid
700138,502,20935,North Leonardport Distribution Center,United Kingdom,188058,Multi-tiered maximized function,Pharmaceuticals,500.28,N,2565,293,23-05-2026,Above Reorder Level,Valid,Unique,Valid
700139,502,20550,North Leonardport Distribution Center,United Kingdom,188058,Multi-tiered grid-enabled product,Industrial Equipment,847.9,N,955,265,27-02-2026,Above Reorder Level,Valid,Unique,Valid
700140,502,20238,North Leonardport Distribution Center,United Kingdom,188058,Down-sized value-added migration,Furniture,14.07,N,,284,16-07-2026,Cannot Determine,Valid,Unique,Valid
700141,502,20069,North Leonardport Distribution Center,United Kingdom,188058,Proactive scalable toolset,Groceries,2489.24,Y,6934,140,07-05-2026,Above Reorder Level,Valid,Unique,Valid
700142,502,20169,North Leonardport Distribution Center,United Kingdom,188058,Polarized user-facing challenge,Electronics,,,613,162,12-07-2026,Above Reorder Level,Valid,Unique,Valid
700143,502,20787,North Leonardport Distribution Center,United Kingdom,188058,Exclusive asymmetric info-mediaries,Apparel,293.59,Y,1453,124,20-06-2026,Above Reorder Level,Valid,Unique,Valid
700144,502,21484,North Leonardport Distribution Center,United Kingdom,188058,Open-architected regional approach,Industrial Equipment,1722.1,N,756,197,07-02-2026,Above Reorder Level,Valid,Unique,Valid
700145,502,20433,North Leonardport Distribution Center,United Kingdom,188058,Innovative uniform interface,Toys,344.78,Y,708,172,08-10-2025,Above Reorder Level,Valid,Unique,Valid
700146,502,21213,North Leonardport Distribution Center,United Kingdom,188058,Centralized attitude-oriented synergy,Toys,1917.65,N,79,191,22-11-2025,Below Reorder Level,Valid,Unique,Valid
700147,502,20104,North Leonardport Distribution Center,United Kingdom,188058,Integrated maximized matrix,Groceries,651.9,Y,1987,,08-07-2026,Cannot Determine,Valid,Unique,Valid
700148,502,21292,North Leonardport Distribution Center,United Kingdom,188058,Digitized interactive adapter,Toys,1858.48,N,1476,135,07-08-2026,Above Reorder Level,Valid,Unique,Valid
700149,502,20592,North Leonardport Distribution Center,United Kingdom,188058,Switchable user-facing open system,Furniture,1999.22,Y,112,34,11-12-2025,Above Reorder Level,Valid,Unique,Valid
700150,502,20470,North Leonardport Distribution Center,United Kingdom,188058,Robust incremental budgetary management,Industrial Equipment,2268.13,Y,690,80,08-09-2025,Above Reorder Level,Valid,Unique,Valid
700151,503,21085,Portermouth Distribution Center,France,590281,Innovative stable complexity,Industrial Equipment,,N,16254,303,17-11-2025,Above Reorder Level,Valid,Unique,Valid
700152,503,21156,Portermouth Distribution Center,France,590281,Balanced disintermediate alliance,Industrial Equipment,2304.07,N,1863,379,19-08-2026,Above Reorder Level,Valid,Unique,Valid
700153,503,21257,Portermouth Distribution Center,France,590281,Devolved heuristic synergy,Furniture,1400.81,Y,1065,,22-01-2026,Cannot Determine,Valid,Unique,Valid
700154,503,20964,Portermouth Distribution Center,France,590281,Visionary background project,Pharmaceuticals,195.3,N,4574,388,01-05-2026,Above Reorder Level,Valid,Unique,Valid
700155,503,20134,Portermouth Distribution Center,France,590281,Digitized high-level leverage,Furniture,244.27,N,28876,96,17-10-2025,Above Reorder Level,Valid,Unique,Valid
700156,503,20887,Portermouth Distribution Center,France,590281,Ameliorated real-time paradigm,Automotive Parts,553.16,N,1886,90,19-01-2026,Above Reorder Level,Valid,Unique,Valid
700157,503,21423,Portermouth Distribution Center,France,590281,Distributed static software,Electronics,1050.15,Y,7587,47,15-02-2026,Above Reorder Level,Valid,Unique,Valid
700158,503,20387,Portermouth Distribution Center,France,590281,Multi-lateral full-range challenge,Industrial Equipment,,Y,9756,103,02-08-2026,Above Reorder Level,Valid,Unique,Valid
700159,503,20940,Portermouth Distribution Center,France,590281,Distributed content-based ability,Toys,498.12,N,1846,134,08-12-2025,Above Reorder Level,Valid,Unique,Valid
700160,503,20229,Portermouth Distribution Center,France,590281,Enterprise-wide 5thgeneration leverage,Automotive Parts,267.13,Y,8864,487,11-09-2025,Above Reorder Level,Valid,Unique,Valid
