order_detail_id,order_id,product_id,customer_id,warehouse_id,supplier_id,order_date,order_status,product_name,category,is_active,quantity,unit_price,discount_pct,source_line_total,gross_line_amount,discount_amount,net_line_amount,calculated_line_total,line_total_difference,line_total_status,transaction_type,supplier_status
800022,5003500,21392,302066,530,1206,26-03-2026,Pending,Cross-platform homogeneous info-mediaries,Furniture,N,50,1438.52,1.1,71134.81,71926,791.186,71134.814,71134.814,-0.004,Matched,Sale,Matched
800023,5001460,20675,301761,523,1126,11-11-2025,Returned,Adaptive scalable definition,Industrial Equipment,Y,6,2074.57,0.4,12397.63,12447.42,49.78968,12397.63032,12397.63032,-0.00032,Matched,Sale,Matched
800024,5001909,20757,302473,529,1072,07-10-2023,Returned,Focused discrete success,Automotive Parts,Y,38,1178.03,,44138.43,,,,,,Cannot Calculate,Sale,Matched
800025,5006152,20139,302073,536,1244,06-03-2025,Cancelled,Synchronized disintermediate extranet,Toys,Y,2,748.53,26.2,1104.83,1497.06,392.22972,1104.83028,1104.83028,-0.00028,Matched,Sale,Matched
800026,5009807,21447,302318,525,1203,09-12-2023,Pending,Team-oriented value-added definition,Office Supplies,,26,1737.08,0.4,44983.42,45164.08,180.65632,44983.42368,44983.42368,-0.00368,Matched,Sale,Matched
800027,5006394,20338,301257,524,1162,31-03-2026,Delivered,Up-sized reciprocal service-desk,Pharmaceuticals,N,40,1376.1,1.5,54218.34,55044,825.66,54218.34,54218.34,0,Matched,Sale,Matched
800028,5009941,20751,301362,526,1222,19-11-2023,Pending,Advanced zero administration framework,Groceries,,20,1145.65,0.5,22798.44,22913,114.565,22798.435,22798.435,0.005,Matched,Sale,Matched
800029,5007141,21222,302787,526,1236,28-03-2024,Shipped,Optimized tangible monitoring,Industrial Equipment,Y,18,614.13,1.7,10866.42,11054.34,187.92378,10866.41622,10866.41622,0.00378,Matched,Sale,Matched
800030,5004587,20107,301942,538,1102,12-01-2025,Pending,Diverse encompassing challenge,Sporting Goods,Y,14,2256.44,16.3,26440.96,31590.16,5149.19608,26440.96392,26440.96392,-0.00392,Matched,Sale,Matched
800031,5007546,20281,302286,527,1244,12-04-2026,Shipped,Universal coherent methodology,Furniture,Y,15,786.05,0.7,11708.21,11790.75,82.53525,11708.21475,11708.21475,-0.00475,Matched,Sale,Matched
800032,5010400,21439,302056,534,1153,27-02-2026,Pending,Robust scalable groupware,Groceries,N,42,653.95,1.1,27163.78,27465.9,302.1249,27163.7751,27163.7751,0.0049,Matched,Sale,Matched
800033,5006653,21342,301904,505,1159,10-05-2025,Delivered,Profound human-resource open architecture,Automotive Parts,Y,24,1346.91,21,25537.41,32325.84,6788.4264,25537.4136,25537.4136,-0.0036,Matched,Sale,Matched
800034,5007859,20534,300998,534,1270,30-01-2026,Delivered,Open-source scalable emulation,Office Supplies,Y,19,2115.48,11,35772.77,40194.12,4421.3532,35772.7668,35772.7668,0.0032,Matched,Sale,Matched
800035,5010257,20701,301215,518,1115,02-01-2025,Pending,Ergonomic content-based monitoring,Toys,Y,30,119.32,0,3579.6,3579.6,0,3579.6,3579.6,0,Matched,Sale,Matched
800036,5004268,21162,300608,536,1214,11-10-2025,Pending,Compatible neutral extranet,Electronics,Y,1,2094.62,11.2,1860.02,2094.62,234.59744,1860.02256,1860.02256,-0.00256,Matched,Sale,Matched
800037,5006322,20274,301370,508,1103,01-12-2025,Pending,Re-contextualized radical interface,Apparel,N,42,1295.32,1.9,53369.77,54403.44,1033.66536,53369.77464,53369.77464,-0.00464,Matched,Sale,Matched
800038,5001027,20178,300197,505,1243,09-06-2025,Pending,Persistent dedicated firmware,Furniture,N,15,1755.27,25.8,19536.16,26329.05,6792.8949,19536.1551,19536.1551,0.0049,Matched,Sale,Matched
800039,5003101,20050,302218,531,1199,23-01-2024,Shipped,Open-source grid-enabled approach,Industrial Equipment,N,46,1529.05,11.2,62458.63,70336.3,7877.6656,62458.6344,62458.6344,-0.0044,Matched,Sale,Matched
800040,5001713,20572,302743,501,1273,30-07-2026,Pending,Streamlined asynchronous monitoring,Toys,N,2,2022.72,1,4004.99,4045.44,40.4544,4004.9856,4004.9856,0.0044,Matched,Sale,Matched
800041,5008904,20276,302030,508,1134,28-09-2022,Delivered,Multi-layered reciprocal contingency,Office Supplies,N,2,439.24,16.1,737.04,878.48,141.43528,737.04472,737.04472,-0.00472,Matched,Sale,Matched
800042,5001567,21414,302951,503,1244,25-10-2025,Delivered,Synergized transitional budgetary management,Sporting Goods,Y,39,2044.24,26.6,58518.41,79725.36,21206.94576,58518.41424,58518.41424,-0.00424,Matched,Sale,Matched
800043,5003080,21281,302807,514,1034,06-07-2024,Cancelled,Upgradable multimedia contingency,Automotive Parts,N,39,1086.5,16.9,35212.38,42373.5,7161.1215,35212.3785,35212.3785,0.0015,Matched,Sale,Matched
800044,5010345,20503,300024,536,1189,22-11-2022,Shipped,Re-contextualized multi-state core,Apparel,Y,9,2000.16,11.4,15949.28,18001.44,2052.16416,15949.27584,15949.27584,0.00416,Matched,Sale,Matched
800045,5005420,21196,302896,516,1013,24-12-2025,Delivered,Synergized multimedia structure,Groceries,Y,23,1357.79,5.3,29574.02,31229.17,1655.14601,29574.02399,29574.02399,-0.00399,Matched,Sale,Matched
800046,5002504,20984,300059,507,1253,27-10-2025,Pending,Enterprise-wide tertiary challenge,Toys,Y,49,1531.58,6.6,70094.29,75047.42,4953.12972,70094.29028,70094.29028,-0.00028,Matched,Sale,Matched
800047,5003893,21094,300981,523,1008,08-01-2026,Pending,Versatile optimal workforce,Toys,Y,24,418.59,11.2,8920.99,10046.16,1125.16992,8920.99008,8920.99008,-8.00E-05,Matched,Sale,Matched
800048,5009946,21266,302105,539,1009,15-03-2026,Shipped,Reactive modular website,Electronics,N,44,1415.16,6.7,58095.15,62267.04,4171.89168,58095.14832,58095.14832,0.00168,Matched,Sale,Matched
800049,5009001,20873,300034,513,1271,17-05-2021,Shipped,Persevering directional architecture,Furniture,Y,21,1512.58,15.8,26745.44,31764.18,5018.74044,26745.43956,26745.43956,0.00044,Matched,Sale,Matched
800050,5000734,20348,301402,530,1079,16-11-2025,Delivered,Ergonomic methodical hardware,Toys,N,21,128.2,7,2503.75,2692.2,188.454,2503.746,2503.746,0.004,Matched,Sale,Matched
800051,5008260,20814,302319,521,1018,20-06-2026,Cancelled,Optional logistical info-mediaries,Automotive Parts,N,14,1498,6.4,19629.79,20972,1342.208,19629.792,19629.792,-0.002,Matched,Sale,Matched
800052,5009154,21477,301945,534,1209,29-06-2024,Returned,Object-based interactive software,Apparel,Y,46,1720.13,5.6,74694.93,79125.98,4431.05488,74694.92512,74694.92512,0.00488,Matched,Sale,Matched
800053,5005860,20692,300434,524,1276,30-12-2025,Delivered,Fundamental bandwidth-monitored adapter,Sporting Goods,N,1,79.31,0.4,78.99,79.31,0.31724,78.99276,78.99276,-0.00276,Matched,Sale,Matched
800054,5002425,21310,300968,516,1072,03-05-2024,Pending,Customizable bandwidth-monitored secured line,Apparel,Y,50,2231.81,25.4,83246.51,111590.5,28343.987,83246.513,83246.513,-0.003,Matched,Sale,Matched
800055,5007024,21209,300815,501,1250,23-04-2024,Pending,Open-source zero administration functionalities,Pharmaceuticals,N,35,1404.19,15.6,41479.77,49146.65,7666.8774,41479.7726,41479.7726,-0.0026,Matched,Sale,Matched
800056,5006469,21412,302112,507,1055,29-03-2024,Pending,Multi-channeled solution-oriented forecast,Electronics,Y,48,1532.19,10.4,65896.43,73545.12,7648.69248,65896.42752,65896.42752,0.00248,Matched,Sale,Matched
800057,5006088,21434,300455,504,1197,11-03-2024,Cancelled,Grass-roots client-server array,Industrial Equipment,N,2,1875.98,6.3,3515.59,3751.96,236.37348,3515.58652,3515.58652,0.00348,Matched,Sale,Matched
800058,5001768,20459,302034,506,1227,29-11-2025,Returned,Object-based empowering paradigm,Apparel,Y,20,1789.07,6.8,33348.26,35781.4,2433.1352,33348.2648,33348.2648,-0.0048,Matched,Sale,Matched
800059,5001942,20885,300671,511,1006,07-10-2022,Cancelled,Team-oriented foreground secured line,Furniture,N,40,2060.18,16.2,69057.23,82407.2,13349.9664,69057.2336,69057.2336,-0.0036,Matched,Sale,Matched
800060,5005173,20532,301277,505,1050,05-12-2024,Returned,Persistent neutral installation,Pharmaceuticals,N,10,1336.98,20.3,10655.73,13369.8,2714.0694,10655.7306,10655.7306,-0.0006,Matched,Sale,Matched
800061,5000680,20218,302673,514,1252,19-03-2025,Pending,Customizable foreground analyzer,Office Supplies,Y,27,1975.19,5.2,50556.96,53330.13,2773.16676,50556.96324,50556.96324,-0.00324,Matched,Sale,Matched
800062,5004918,20757,302246,514,1072,09-01-2026,Delivered,Focused discrete success,Automotive Parts,Y,33,1178.03,25.9,28806.37,38874.99,10068.62241,28806.36759,28806.36759,0.00241,Matched,Sale,Matched
800063,5005068,21296,302184,524,1166,21-04-2026,Shipped,Sharable discrete definition,Sporting Goods,N,49,31.26,26.6,1124.3,1531.74,407.44284,1124.29716,1124.29716,0.00284,Matched,Sale,Matched
800064,5004716,20900,302782,528,1189,29-10-2021,Shipped,Right-sized leadingedge support,Apparel,Y,29,2332.34,15.8,56951.08,67637.86,10686.78188,56951.07812,56951.07812,0.00188,Matched,Sale,Matched
800065,5008849,20887,300751,513,1227,29-04-2026,Delivered,Ameliorated real-time paradigm,Automotive Parts,N,-1,553.16,1.6,-544.31,-553.16,-8.85056,-544.30944,-544.30944,-0.00056,Matched,Return / Reversal,Matched
800066,5007937,21372,301342,538,1203,09-09-2025,Delivered,Self-enabling scalable portal,Furniture,Y,17,2057.55,25.4,26093.85,34978.35,8884.5009,26093.8491,26093.8491,0.0009,Matched,Sale,Matched
800067,5011520,20408,301307,514,1019,01-05-2021,Delivered,Automated stable project,Office Supplies,Y,48,1149.5,0.4,54955.3,55176,220.704,54955.296,54955.296,0.004,Matched,Sale,Matched
800068,5007540,20997,302547,514,1182,04-02-2024,Pending,Synergistic well-modulated attitude,Groceries,N,35,1079.82,10.6,33787.57,37793.7,4006.1322,33787.5678,33787.5678,0.0022,Matched,Sale,Matched
800069,5009704,20818,302563,522,1271,15-04-2025,Shipped,Diverse even-keeled product,Automotive Parts,Y,6,1817.43,5.9,10261.21,10904.58,643.37022,10261.20978,10261.20978,0.00022,Matched,Sale,Matched
800070,5004989,20809,302766,537,1288,06-02-2026,Cancelled,Stand-alone logistical hardware,Toys,Y,48,2415.69,21.9,90559.39,115953.12,25393.73328,90559.38672,90559.38672,0.00328,Matched,Sale,Matched
800071,5010815,21297,302898,509,1232,27-10-2025,Delivered,Mandatory interactive matrices,Sporting Goods,N,3,2481.76,11.7,,7445.28,871.09776,6574.18224,6574.18224,,Missing Source Total,Sale,Matched
800072,5005564,20581,302078,516,1121,10-01-2026,Returned,Grass-roots systemic strategy,Furniture,N,24,2338.88,0.5,55852.45,56133.12,280.6656,55852.4544,55852.4544,-0.0044,Matched,Sale,Matched
800073,5009966,20585,300650,519,1186,27-05-2022,Delivered,Proactive high-level alliance,Apparel,N,-2,2258.09,0.4,-4498.12,-4516.18,-18.06472,-4498.11528,-4498.11528,-0.00472,Matched,Return / Reversal,Matched
800074,5009990,20835,302702,519,1283,25-05-2024,Shipped,Inverse static synergy,Pharmaceuticals,N,29,541.67,26.4,11561.4,15708.43,4147.02552,11561.40448,11561.40448,-0.00448,Matched,Sale,Matched
800075,5009409,21102,302460,527,1221,04-02-2025,Shipped,Up-sized object-oriented benchmark,Industrial Equipment,Y,47,1298.8,16.3,51093.49,61043.6,9950.1068,51093.4932,51093.4932,-0.0032,Matched,Sale,Matched
800076,5002823,20396,301219,530,1061,23-07-2025,Returned,Distributed web-enabled system engine,Furniture,Y,48,1844.2,1.1,87547.86,88521.6,973.7376,87547.8624,87547.8624,-0.0024,Matched,Sale,Matched
800077,5003959,20135,300404,501,1204,18-09-2021,Shipped,Universal holistic function,Automotive Parts,N,20,1178.42,6.9,21942.18,23568.4,1626.2196,21942.1804,21942.1804,-0.0004,Matched,Sale,Matched
800078,5006407,20708,301769,508,1211,31-12-2024,Delivered,Business-focused responsive utilization,Industrial Equipment,N,18,584.31,6.9,9791.87,10517.58,725.71302,9791.86698,9791.86698,0.00302,Matched,Sale,Matched
800079,5003360,20786,301881,530,1076,06-07-2024,Pending,Pre-emptive 4thgeneration contingency,Sporting Goods,Y,32,654.8,1.6,20618.34,20953.6,335.2576,20618.3424,20618.3424,-0.0024,Matched,Sale,Matched
800080,5008805,20650,301172,507,1235,21-08-2025,Delivered,Sharable multimedia extranet,Office Supplies,Y,13,2379.7,16.3,25893.52,30936.1,5042.5843,25893.5157,25893.5157,0.0043,Matched,Sale,Matched
800081,5005714,20665,302979,511,1109,01-03-2024,Delivered,Optimized grid-enabled customer loyalty,Electronics,N,12,1139.67,10.1,12294.76,13676.04,1381.28004,12294.75996,12294.75996,4.00E-05,Matched,Sale,Matched
800082,5010416,20406,302420,518,1013,15-03-2024,Pending,Visionary composite Internet solution,Office Supplies,N,6,1997.97,1,11867.94,11987.82,119.8782,11867.9418,11867.9418,-0.0018,Matched,Sale,Matched
800083,5005166,20564,301279,503,1236,21-05-2022,Delivered,Right-sized full-range adapter,Toys,Y,2,1645.1,15.4,2783.51,3290.2,506.6908,2783.5092,2783.5092,0.0008,Matched,Sale,Matched
800084,5001613,21332,302987,507,1141,13-11-2023,Delivered,Decentralized intermediate architecture,Furniture,Y,23,67.85,25.5,1162.61,1560.55,397.94025,1162.60975,1162.60975,0.00025,Matched,Sale,Matched
800085,5008650,20416,301622,507,1291,03-01-2023,Shipped,Progressive reciprocal circuit,Sporting Goods,N,4,331.22,0.7,1315.61,1324.88,9.27416,1315.60584,1315.60584,0.00416,Matched,Sale,Matched
800086,5003583,21072,301808,520,1219,08-09-2024,Shipped,Horizontal client-server synergy,Electronics,N,34,1956.97,10.3,59683.67,66536.98,6853.30894,59683.67106,59683.67106,-0.00106,Matched,Sale,Matched
800087,5002101,20967,301608,506,1176,20-10-2024,Pending,Programmable content-based interface,Sporting Goods,N,-3,2484.36,25,-5589.81,-7453.08,-1863.27,-5589.81,-5589.81,-9.09E-13,Matched,Return / Reversal,Matched
800088,5003380,20166,300663,526,1061,02-07-2025,Delivered,Visionary solution-oriented task-force,Industrial Equipment,Y,23,1177.4,11.1,24074.3,27080.2,3005.9022,24074.2978,24074.2978,0.0022,Matched,Sale,Matched
800089,5007029,21038,300709,516,1236,02-01-2026,Cancelled,Versatile stable standardization,Groceries,N,6,1788.53,10,9658.06,10731.18,1073.118,9658.062,9658.062,-0.002,Matched,Sale,Matched
800090,5010329,20741,300091,507,1079,25-03-2026,Shipped,Configurable zero tolerance focus group,Pharmaceuticals,N,48,2443.15,0.7,116450.3,117271.2,820.8984,116450.3016,116450.3016,-0.0016,Matched,Sale,Matched
800091,5009825,20576,300033,515,1019,14-05-2022,Shipped,Networked context-sensitive throughput,Automotive Parts,Y,20,506.57,1.9,9938.9,10131.4,192.4966,9938.9034,9938.9034,-0.0034,Matched,Sale,Matched
800092,5008807,20749,300328,530,1292,03-01-2026,Delivered,Devolved web-enabled structure,Sporting Goods,N,28,2198.34,0.7,61122.65,61553.52,430.87464,61122.64536,61122.64536,0.00464,Matched,Sale,Matched
800093,5006892,20330,300828,510,1268,19-08-2024,Delivered,Implemented non-volatile infrastructure,Electronics,N,12,1647.91,21.4,15543.09,19774.92,4231.83288,15543.08712,15543.08712,0.00288,Matched,Sale,Matched
800094,5010142,20538,302246,518,1248,24-05-2025,Shipped,Streamlined zero tolerance capacity,Electronics,N,49,1893.82,26,68669.91,92797.18,24127.2668,68669.9132,68669.9132,-0.0032,Matched,Sale,Matched
800095,5003304,21323,302295,515,1181,13-07-2025,Delivered,Cross-platform asynchronous moratorium,Furniture,N,45,2434,0.8,108653.76,109530,876.24,108653.76,108653.76,0,Matched,Sale,Matched
800096,5002859,20074,302927,527,1074,11-01-2025,Pending,Cross-group transitional paradigm,Industrial Equipment,Y,26,,0.8,10183.46,,,,,,Cannot Calculate,Sale,Matched
800097,5001268,20490,301576,540,1243,10-04-2026,Delivered,Inverse background website,Automotive Parts,N,21,,16.7,9536.48,,,,,,Cannot Calculate,Sale,Matched
800098,5002150,20490,300308,503,1243,16-10-2025,Delivered,Inverse background website,Automotive Parts,N,28,,5.1,20281.61,,,,,,Cannot Calculate,Sale,Matched
800099,5009848,20348,300152,509,1079,06-05-2022,Cancelled,Ergonomic methodical hardware,Toys,N,22,128.2,1.7,,2820.4,47.9468,2772.4532,2772.4532,,Missing Source Total,Sale,Matched
800100,5005206,20963,301415,527,1297,13-05-2025,Delivered,Diverse 24/7 budgetary management,Apparel,Y,1,2167.61,10,1950.85,2167.61,216.761,1950.849,1950.849,0.001,Matched,Sale,Matched
800101,5008741,20203,301601,507,1300,17-02-2026,Shipped,Right-sized eco-centric archive,Office Supplies,,25,1208.36,5.2,28638.13,30209,1570.868,28638.132,28638.132,-0.002,Matched,Sale,Matched
800102,5008821,20742,300036,518,1196,07-04-2024,Pending,Focused bandwidth-monitored capability,Toys,N,40,512.1,1.4,20197.22,20484,286.776,20197.224,20197.224,-0.004,Matched,Sale,Matched
800103,5009382,21400,302538,503,1230,27-08-2024,Pending,Configurable dedicated challenge,Sporting Goods,N,2,2235.18,0.1,4465.89,4470.36,4.47036,4465.88964,4465.88964,0.00036,Matched,Sale,Matched
800104,5005601,21118,300993,538,1288,25-04-2025,Shipped,Multi-tiered even-keeled product,Automotive Parts,N,30,1929.95,1.8,56856.33,57898.5,1042.173,56856.327,56856.327,0.003,Matched,Sale,Matched
800105,5002929,20192,302661,536,1077,15-06-2026,Returned,Synergistic content-based instruction set,Office Supplies,N,36,2097.9,0.4,75222.3,75524.4,302.0976,75222.3024,75222.3024,-0.0024,Matched,Sale,Matched
800106,5011422,21119,301154,506,1028,30-03-2026,Delivered,Streamlined leadingedge hub,Furniture,Y,33,672.26,16.1,18612.86,22184.58,3571.71738,18612.86262,18612.86262,-0.00262,Matched,Sale,Matched
800107,5008554,20897,300028,507,1058,08-04-2021,Cancelled,Implemented dedicated collaboration,Apparel,Y,-4,1230.57,26,-3642.49,-4922.28,-1279.7928,-3642.4872,-3642.4872,-0.0028,Matched,Return / Reversal,Matched
800108,5001800,20789,301216,536,1158,24-08-2025,Returned,Implemented stable moderator,Apparel,N,36,1835.37,0.8,65544.73,66073.32,528.58656,65544.73344,65544.73344,-0.00344,Matched,Sale,Matched
800109,5001840,20187,302391,522,1245,27-01-2026,Delivered,Universal demand-driven core,Groceries,Y,22,2000.15,21,34762.61,44003.3,9240.693,34762.607,34762.607,0.003,Matched,Sale,Matched
800110,5005397,20676,300463,528,1252,27-04-2026,Cancelled,Team-oriented discrete Local Area Network,Electronics,N,33,2155.21,1.8,69841.74,71121.93,1280.19474,69841.73526,69841.73526,0.00474,Matched,Sale,Matched
800111,5006866,20564,302897,538,1236,12-11-2025,Pending,Right-sized full-range adapter,Toys,Y,14,1645.1,20.7,18263.9,23031.4,4767.4998,18263.9002,18263.9002,-0.0002,Matched,Sale,Matched
800112,5006521,20140,300634,533,1062,01-06-2026,Returned,Reactive human-resource function,Sporting Goods,Y,25,2373.24,25.2,44379.59,59331,14951.412,44379.588,44379.588,0.002,Matched,Sale,Matched
800113,5004090,20002,301923,520,1027,14-11-2024,Pending,Decentralized discrete interface,Industrial Equipment,Y,28,672.62,10.1,16931.19,18833.36,1902.16936,16931.19064,16931.19064,-0.00064,Matched,Sale,Matched
800114,5000223,20903,300171,536,1164,26-12-2025,Delivered,Virtual 6thgeneration model,Sporting Goods,Y,11,1236.53,21.6,10663.83,13601.83,2937.99528,10663.83472,10663.83472,-0.00472,Matched,Sale,Matched
800115,5001945,21058,302944,504,1010,30-07-2025,Cancelled,User-friendly bifurcated orchestration,Electronics,Y,1,1382.13,5.1,1311.64,1382.13,70.48863,1311.64137,1311.64137,-0.00137,Matched,Sale,Matched
800116,5009271,20520,301423,530,1111,15-04-2021,Delivered,Open-source systematic concept,Sporting Goods,N,48,1820.18,21,69021.23,87368.64,18347.4144,69021.2256,69021.2256,0.0044,Matched,Sale,Matched
800117,5000747,20125,301772,521,1290,06-03-2023,Pending,User-friendly value-added encoding,Sporting Goods,Y,18,262.07,0.3,4703.11,4717.26,14.15178,4703.10822,4703.10822,0.00178,Matched,Sale,Matched
800118,5008630,21321,301015,510,1205,08-01-2026,Shipped,Reverse-engineered solution-oriented core,Toys,Y,15,2033.28,1.6,30011.21,30499.2,487.9872,30011.2128,30011.2128,-0.0028,Matched,Sale,Matched
800119,5011671,21003,300903,516,1157,22-08-2025,Delivered,Programmable well-modulated flexibility,Furniture,N,-4,2131.7,0.7,-8467.11,-8526.8,-59.6876,-8467.1124,-8467.1124,0.0024,Matched,Return / Reversal,Matched
800120,5001534,20830,302217,520,1093,27-03-2024,Pending,Synergistic value-added Local Area Network,Groceries,Y,16,,6,21018.1,,,,,,Cannot Calculate,Sale,Matched
800121,5006886,21218,302852,502,1258,08-02-2024,Pending,Synergized systematic monitoring,Industrial Equipment,Y,22,2497.28,25.4,40985.36,54940.16,13954.80064,40985.35936,40985.35936,0.00064,Matched,Sale,Matched
800122,5005830,20249,300709,519,1193,07-09-2024,Pending,Assimilated attitude-oriented knowledgebase,Pharmaceuticals,Y,27,1634.88,5.5,41713.96,44141.76,2427.7968,41713.9632,41713.9632,-0.0032,Matched,Sale,Matched
800123,5011389,21441,300138,516,1056,23-03-2022,Pending,Networked intangible neural-net,Sporting Goods,N,34,2342.38,26.5,58536.08,79640.92,21104.8438,58536.0762,58536.0762,0.0038,Matched,Sale,Matched
800124,5000541,20514,301720,531,1243,12-01-2024,Pending,Assimilated multi-tasking functionalities,Industrial Equipment,N,48,2240.15,1.4,106021.82,107527.2,1505.3808,106021.8192,106021.8192,0.0008,Matched,Sale,Matched
800125,5008482,21076,300972,508,1064,18-08-2023,Pending,Grass-roots tertiary orchestration,Pharmaceuticals,Y,10,768.62,6.5,7186.6,7686.2,499.603,7186.597,7186.597,0.003,Matched,Sale,Matched
800126,5011367,21126,302294,513,1068,24-09-2025,Pending,Cross-platform optimizing contingency,Automotive Parts,N,16,2046.1,26.9,23931.19,32737.6,8806.4144,23931.1856,23931.1856,0.0044,Matched,Sale,Matched
800127,5005155,21127,301445,512,1011,15-01-2026,Delivered,Networked mission-critical project,Office Supplies,Y,29,38.82,20.9,890.49,1125.78,235.28802,890.49198,890.49198,-0.00198,Matched,Sale,Matched
800128,5008152,20234,301743,509,1093,14-08-2023,Returned,Pre-emptive logistical methodology,Industrial Equipment,N,10,1678.1,16.1,14079.26,16781,2701.741,14079.259,14079.259,0.001,Matched,Sale,Matched
800129,5004259,20091,301909,533,1128,19-05-2025,Delivered,Optional non-volatile superstructure,Pharmaceuticals,Y,32,1041.81,10.9,29704.09,33337.92,3633.83328,29704.08672,29704.08672,0.00328,Matched,Sale,Matched
800130,5008931,21405,300675,504,1021,08-07-2025,Shipped,Team-oriented encompassing product,Sporting Goods,Y,13,683.55,11.8,7837.58,8886.15,1048.5657,7837.5843,7837.5843,-0.0043,Matched,Sale,Matched
800131,5001520,20174,300378,522,1223,04-11-2025,Shipped,Object-based homogeneous orchestration,Groceries,,38,2220.16,15.4,71373.7,84366.08,12992.37632,71373.70368,71373.70368,-0.00368,Matched,Sale,Matched
