shipment_id,order_id,carrier,shipment_date,delivery_date,shipping_cost,distance_km,order_status,order_reference_status,shipment_date_status,delivery_date_status
900070,5004140,DHL,2026-02-02,2026-02-14,522.93,9868.5,Shipped,Matched,Valid,Valid
900071,5005808,FedEx,,,126.88,1664.0,Shipped,Matched,Missing Shipment Date,Missing Delivery Date
900072,5004883,DHL Express,2026-01-16,2026-01-19,,1521.3,Delivered,Matched,Valid,Valid
900073,5002458,FedEx,2024-07-12,2024-07-18,142.48,2910.8,Returned,Matched,Valid,Valid
900074,5004542,Blue Dart,2022-09-26,2022-10-13,629.53,9143.1,Returned,Matched,Valid,Valid
900075,5007708,UPS,2026-01-29,2026-02-12,775.2,11164.8,Shipped,Matched,Valid,Valid
900076,5011227,FedEx,2025-03-31,2025-04-14,474.67,9279.3,Shipped,Matched,Valid,Valid
900077,5000852,Maersk,2025-10-22,2025-10-25,150.07,2726.5,Pending,Matched,Valid,Valid
900078,5003055,Maersk,2025-04-26,2025-05-12,664.06,11579.8,Cancelled,Matched,Valid,Valid
900079,5004197,FedEx,2025-07-31,2025-08-07,225.99,3104.2,Cancelled,Matched,Valid,Valid
900080,5000069,FedEx,2023-01-04,2023-01-05,,792.4,Returned,Matched,Valid,Valid
900081,5004174,FedEx,2022-05-11,2022-05-21,507.35,7640.5,Shipped,Matched,Valid,Valid
900082,5005214,Maersk,2024-07-18,,292.93,6633.3,Delivered,Matched,Valid,Missing Delivery Date
900083,5005079,UPS,2025-07-25,2025-07-28,194.4,3011.7,Shipped,Matched,Valid,Valid
900084,5010994,FedEx,2024-01-06,2024-07-01,33.3,538.9,Cancelled,Matched,Valid,Valid
900085,5006968,Blue Dart,2024-07-08,2024-07-14,225.45,4119.6,Shipped,Matched,Valid,Valid
900086,5002029,DHL Express,2023-10-12,2023-10-13,24.55,418.3,Shipped,Matched,Valid,Valid
900087,5007500,DHL,2023-11-10,2023-11-20,,5623.2,Shipped,Matched,Valid,Valid
900088,5010833,Blue Dart,2024-01-10,2024-02-03,638.41,11908.7,Pending,Matched,Valid,Valid
900089,5009221,FedEx,2022-02-01,2022-02-13,395.19,9294.3,Cancelled,Matched,Valid,Valid
900090,5006587,Blue Dart,2023-12-18,2024-01-05,548.06,9977.5,Pending,Matched,Valid,Valid
900091,5003584,FedEx,2023-08-16,2023-08-30,360.62,8501.5,Delivered,Matched,Valid,Valid
900092,5000690,FedEx,2023-01-31,2023-02-15,444.2,7257.2,Pending,Matched,Valid,Valid
900093,5007299,UPS,2026-05-16,2026-05-31,426.82,8716.3,Pending,Matched,Valid,Valid
900094,5010880,FedEx,2025-07-27,2025-07-28,77.11,,Shipped,Matched,Valid,Valid
900095,5003170,DHL Express,,,126.39,2496.0,Shipped,Matched,Missing Shipment Date,Missing Delivery Date
900096,5011157,UPS,2025-09-23,2025-10-01,336.75,7039.3,Returned,Matched,Valid,Valid
900097,5008936,DHL Express,2022-10-21,2022-10-28,289.38,5629.1,Shipped,Matched,Valid,Valid
900098,5005886,DHL,2026-05-24,2026-06-01,195.03,3953.3,Cancelled,Matched,Valid,Valid
900099,5006742,FedEx,,,342.89,5342.2,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900100,5001964,Maersk,2024-01-28,2024-02-13,709.87,11683.9,Pending,Matched,Valid,Valid
900101,5001890,FedEx,,,,4729.4,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900102,5009803,DHL Express,,,682.55,,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900103,5007180,FedEx,2026-06-22,2026-06-28,261.15,3745.3,Pending,Matched,Valid,Valid
900104,5003113,Maersk,2024-07-23,2024-07-26,87.36,1243.8,Pending,Matched,Valid,Valid
900105,5003923,Maersk,2025-07-13,2025-07-26,664.16,11703.5,Delivered,Matched,Valid,Valid
900106,5007076,FedEx,2023-09-08,2023-09-17,260.38,4377.2,Returned,Matched,Valid,Valid
900107,5011383,Maersk,2024-02-09,2024-03-06,590.52,11504.7,Delivered,Matched,Valid,Valid
900108,5008376,DHL Express,2024-01-11,2024-01-17,257.27,3603.9,Pending,Matched,Valid,Valid
900109,5007000,FedEx,,,244.49,3893.9,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900110,5005211,FedEx,2025-10-13,,410.74,7144.6,Pending,Matched,Valid,Missing Delivery Date
900111,5009774,FedEx,2022-03-19,2022-03-28,435.46,6707.1,Pending,Matched,Valid,Valid
900112,5004019,FedEx,2023-08-20,2023-08-28,338.33,5195.7,Pending,Matched,Valid,Valid
900113,5009279,DHL,2024-05-20,2024-05-22,116.03,1529.8,Returned,Matched,Valid,Valid
900114,5011292,DHL,2025-05-13,2025-05-14,63.87,1504.5,Pending,Matched,Valid,Valid
900115,5008183,DHL Express,2025-03-29,2025-04-07,298.85,5102.8,Pending,Matched,Valid,Valid
900116,5001236,Blue Dart,2024-06-24,2024-06-28,205.75,3233.2,Pending,Matched,Valid,Valid
900117,5007888,UPS,2023-02-11,2023-02-27,505.86,9891.8,Pending,Matched,Valid,Valid
900118,5004369,DHL,2023-09-25,2023-09-26,64.33,840.5,Shipped,Matched,Valid,Valid
900119,5010200,FedEx,2026-02-17,2026-02-22,180.92,2618.7,Delivered,Matched,Valid,Valid
900120,5006351,FedEx,2026-08-02,2026-08-13,455.63,6440.5,Shipped,Matched,Valid,Valid
900121,5005763,UPS,2025-06-02,2025-06-29,606.59,11569.2,Returned,Matched,Valid,Valid
900122,5010435,UPS,2026-05-06,2026-05-18,342.14,6539.2,Delivered,Matched,Valid,Valid
900123,5006686,Maersk,2025-02-25,2025-03-07,,9123.3,Pending,Matched,Valid,Valid
900124,5002482,DHL Express,2026-02-22,2026-03-02,230.24,4569.0,Shipped,Matched,Valid,Valid
900125,5002676,UPS,2025-04-14,2025-04-15,15.32,131.2,Shipped,Matched,Valid,Valid
900126,5005137,Blue Dart,2026-03-27,2026-04-16,517.77,9334.2,Pending,Matched,Valid,Valid
900127,5003786,Blue Dart,2025-04-22,2025-05-04,464.78,8423.5,Pending,Matched,Valid,Valid
900128,5009344,Blue Dart,2025-06-20,2025-07-05,650.07,11976.8,Shipped,Matched,Valid,Valid
900129,5003356,Blue Dart,2025-02-12,2025-02-23,464.02,8155.3,Pending,Matched,Valid,Valid
900130,5008688,DHL,2024-01-25,,292.15,5708.1,Pending,Matched,Valid,Missing Delivery Date
900131,5003568,DHL Express,,,436.02,10032.8,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900132,5004576,DHL Express,,,,11228.5,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900133,5003266,Maersk,2024-06-11,2024-06-30,649.46,10150.2,Delivered,Matched,Valid,Valid
900134,5010330,DHL,2024-08-25,2024-09-18,594.22,10920.8,Delivered,Matched,Valid,Valid
900135,5000647,UPS,,,137.7,,Returned,Matched,Missing Shipment Date,Missing Delivery Date
900136,5004139,Maersk,2024-04-30,2024-07-05,222.68,4767.6,Delivered,Matched,Valid,Valid
900137,5010446,Maersk,,,345.67,6758.6,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900138,5008697,DHL Express,2026-08-02,2026-08-25,712.89,10546.3,Cancelled,Matched,Valid,Valid
900139,5002156,FedEx,2023-08-07,2023-08-12,132.03,2921.1,Shipped,Matched,Valid,Valid
900140,5008117,Maersk,2024-05-23,,297.46,5057.2,Delivered,Matched,Valid,Missing Delivery Date
900141,5004650,Blue Dart,2026-06-01,,469.17,7017.4,Shipped,Matched,Valid,Missing Delivery Date
900142,5004021,UPS,2023-11-14,2023-11-15,36.14,502.5,Shipped,Matched,Valid,Valid
900143,5006927,DHL Express,2021-03-10,2021-03-19,525.16,7593.1,Shipped,Matched,Valid,Valid
900144,5011241,FedEx,2024-08-11,2024-08-18,211.41,4148.3,Delivered,Matched,Valid,Valid
900145,5001736,Maersk,,,555.45,10513.7,Shipped,Matched,Missing Shipment Date,Missing Delivery Date
900146,5003543,FedEx,2025-11-03,2025-11-06,156.98,2283.8,Delivered,Matched,Valid,Valid
900147,5000137,DHL Express,2026-06-06,2026-06-14,404.86,5913.5,Cancelled,Matched,Valid,Valid
900148,5010963,Maersk,,,678.13,10146.5,Cancelled,Matched,Missing Shipment Date,Missing Delivery Date
900149,5007053,DHL Express,2025-04-10,2025-04-14,239.28,4013.8,Pending,Matched,Valid,Valid
900150,5001427,FedEx,2026-04-07,2026-04-11,119.66,2393.2,Shipped,Matched,Valid,Valid
900151,5003720,DHL Express,2025-06-24,2025-07-01,,6377.4,Pending,Matched,Valid,Valid
900152,5010324,FedEx,2025-10-04,2025-10-13,339.0,5190.5,Pending,Matched,Valid,Valid
900153,5011892,FedEx,2023-10-05,2023-12-10,255.38,3595.6,Returned,Matched,Valid,Valid
900154,5006198,FedEx,2025-11-12,2025-12-01,819.48,11943.5,Pending,Matched,Valid,Valid
900155,5007413,Maersk,,,156.95,3151.3,Returned,Matched,Missing Shipment Date,Missing Delivery Date
900156,5003333,Blue Dart,2024-01-05,2024-01-16,350.32,8147.8,Shipped,Matched,Valid,Valid
900157,5005680,DHL,2026-03-02,2026-03-27,,11655.2,Shipped,Matched,Valid,Valid
900158,5009104,FedEx,2022-12-10,,96.89,1754.9,Returned,Matched,Valid,Missing Delivery Date
900159,5010129,Maersk,2023-11-17,2023-11-29,443.34,8217.5,Shipped,Matched,Valid,Valid
900160,5011891,Maersk,2025-09-03,2025-09-07,181.68,3221.3,Returned,Matched,Valid,Valid
900161,5009652,Maersk,2025-11-16,2025-11-24,234.88,3850.7,Returned,Matched,Valid,Valid
900162,5011427,FedEx,2021-01-31,,230.06,3326.2,Shipped,Matched,Valid,Missing Delivery Date
900163,5002793,UPS,,,302.29,6361.3,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900164,5003873,UPS,2024-12-03,2024-12-12,324.86,6918.1,Shipped,Matched,Valid,Valid
900165,5008666,Maersk,2025-06-26,2025-07-15,706.21,11735.1,Delivered,Matched,Valid,Valid
900166,5011287,DHL Express,,,408.0,7794.6,Returned,Matched,Missing Shipment Date,Missing Delivery Date
900167,5003007,Blue Dart,2025-08-19,2025-08-21,95.52,1570.2,Cancelled,Matched,Valid,Valid
900168,5000686,UPS,2026-08-01,2026-08-03,64.77,1090.3,Delivered,Matched,Valid,Valid
900169,5007940,Blue Dart,2023-09-13,2023-09-19,166.09,3169.5,Pending,Matched,Valid,Valid
900170,5011241,FedEx,2024-08-09,2024-08-21,,7956.8,Delivered,Matched,Valid,Valid
900171,5010976,Maersk,2024-07-10,2024-07-21,340.78,5160.8,Pending,Matched,Valid,Valid
900172,5004539,UPS,2024-01-19,2024-01-23,132.49,1708.8,Shipped,Matched,Valid,Valid
900173,5009997,Maersk,2026-01-02,2026-01-05,81.8,1371.8,Shipped,Matched,Valid,Valid
900174,5004459,DHL,2025-05-03,2025-05-07,222.22,3783.8,Shipped,Matched,Valid,Valid
900175,5003867,Blue Dart,2023-09-26,2023-10-05,345.67,5083.2,Pending,Matched,Valid,Valid
900176,5004597,FedEx,2024-03-28,2024-04-07,505.85,7473.8,Pending,Matched,Valid,Valid
900177,5007783,DHL Express,,,323.98,6880.8,Cancelled,Matched,Missing Shipment Date,Missing Delivery Date
900178,5005979,UPS,2023-10-29,2023-11-01,89.63,1594.8,Cancelled,Matched,Valid,Valid
900179,5002600,UPS,2022-12-08,2022-12-26,474.76,10633.4,Shipped,Matched,Valid,Valid
900180,5006527,Maersk,2025-08-09,2025-08-11,110.38,1701.8,Returned,Matched,Valid,Valid
900181,5009446,FedEx,,,656.96,10073.9,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900182,5003356,Blue Dart,2025-02-14,2025-02-22,216.03,4516.4,Pending,Matched,Valid,Valid
900183,5000966,Maersk,2025-08-13,,446.5,7128.2,Returned,Matched,Valid,Missing Delivery Date
900184,5000474,DHL Express,2025-07-01,2025-07-04,188.31,3165.3,Pending,Matched,Valid,Valid
900185,5006138,DHL Express,2023-04-15,2023-05-06,576.58,8795.6,Delivered,Matched,Valid,Valid
900186,5007655,Blue Dart,2026-03-10,2026-03-31,536.98,10194.2,Shipped,Matched,Valid,Valid
900187,5011164,FedEx,2026-02-20,2026-02-21,77.44,1335.3,Pending,Matched,Valid,Valid
900188,5001640,DHL,2026-07-30,2026-08-11,568.06,8014.8,Delivered,Matched,Valid,Valid
900189,5003674,FedEx,2025-06-02,2025-06-06,230.13,3984.8,Delivered,Matched,Valid,Valid
900190,5007395,FedEx,2024-02-23,2024-03-03,292.72,6896.0,Delivered,Matched,Valid,Valid
900191,5011862,FedEx,2024-09-28,2024-10-05,312.82,6661.5,Shipped,Matched,Valid,Valid
900192,5009186,FedEx,2026-06-06,2026-06-09,200.95,2969.5,Shipped,Matched,Valid,Valid
900193,5008857,Blue Dart,2025-05-31,2025-06-01,37.05,632.2,Cancelled,Matched,Valid,Valid
900194,5004749,UPS,2024-07-22,2024-08-06,653.23,10521.9,Cancelled,Matched,Valid,Valid
900195,5008518,Maersk,2025-12-31,2026-01-06,364.4,4987.4,Cancelled,Matched,Valid,Valid
900196,5009101,DHL,,,425.4,7348.9,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900197,5003495,FedEx,2023-06-21,2023-07-03,691.82,10699.2,Pending,Matched,Valid,Valid
900198,5000729,Maersk,2024-03-11,2024-03-15,108.0,2272.9,Cancelled,Matched,Valid,Valid
900199,5004767,Maersk,2026-06-14,2026-02-07,499.76,9846.0,Shipped,Matched,Valid,Delivery Before Shipment
900200,5006589,UPS,2023-11-09,2023-11-24,531.64,8955.1,Delivered,Matched,Valid,Valid
900201,5011170,Maersk,2024-02-28,2024-03-15,517.99,,Delivered,Matched,Valid,Valid
900202,5009059,DHL Express,2025-11-26,2025-12-09,527.34,8510.3,Shipped,Matched,Valid,Valid
900203,5007283,FedEx,2026-06-17,,337.54,4599.5,Delivered,Matched,Valid,Missing Delivery Date
900204,5006537,DHL Express,2024-10-23,2024-10-24,13.67,66.5,Shipped,Matched,Valid,Valid
900205,5008343,DHL,2024-05-05,2024-05-08,204.1,3338.4,Cancelled,Matched,Valid,Valid
900206,5003124,Blue Dart,,,473.18,6904.3,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900207,5006703,FedEx,,,289.39,4799.6,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900208,5004942,UPS,2025-07-15,2025-07-27,310.67,7277.4,Pending,Matched,Valid,Valid
900209,5007809,Blue Dart,,,487.61,7111.8,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900210,5004308,FedEx,2022-12-20,2022-12-22,105.8,2285.8,Delivered,Matched,Valid,Valid
900211,5004767,UPS,2026-06-13,2026-06-26,629.44,11779.1,Shipped,Matched,Valid,Valid
900212,5005480,Blue Dart,2025-10-30,2025-10-31,49.06,854.3,Delivered,Matched,Valid,Valid
900213,5007863,DHL,,,164.54,4005.9,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900214,5009563,UPS,2025-05-28,2025-06-07,351.45,5455.7,Returned,Matched,Valid,Valid
900215,5003366,DHL,2024-01-04,2024-01-18,713.15,10680.7,Delivered,Matched,Valid,Valid
900216,5005639,FedEx,2025-02-17,2025-03-02,488.42,6992.1,Delivered,Matched,Valid,Valid
900217,5009603,Blue Dart,2022-05-01,,504.15,7620.0,Returned,Matched,Valid,Missing Delivery Date
900218,5010557,DHL Express,,,76.61,1481.2,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900219,5008607,Maersk,2025-02-09,2025-02-20,609.54,8848.5,Cancelled,Matched,Valid,Valid
900220,5009985,Maersk,2025-09-03,2025-09-12,409.95,7687.3,Delivered,Matched,Valid,Valid
900221,5002894,UPS,2026-04-25,2026-04-26,68.39,899.8,Cancelled,Matched,Valid,Valid
900222,5011115,Blue Dart,2026-01-18,2026-02-07,549.28,10777.2,Delivered,Matched,Valid,Valid
900223,5002006,Blue Dart,2025-10-12,2025-10-20,448.87,7953.5,Delivered,Matched,Valid,Valid
900224,5011655,Maersk,2024-10-11,2024-10-15,155.77,3147.8,Shipped,Matched,Valid,Valid
900225,5010357,Maersk,2021-01-25,2021-02-08,444.45,10403.5,Shipped,Matched,Valid,Valid
900226,5000654,UPS,2026-04-28,2026-05-17,520.62,8370.4,Delivered,Matched,Valid,Valid
900227,5002920,UPS,2026-04-04,2026-04-05,15.56,5.6,Returned,Matched,Valid,Valid
900228,5009935,FedEx,2026-07-27,2026-07-28,25.73,250.2,Delivered,Matched,Valid,Valid
900229,5002423,Maersk,2025-09-03,2025-09-17,528.25,8384.8,Pending,Matched,Valid,Valid
900230,5007586,DHL,2026-04-29,2026-05-04,237.59,4759.6,Delivered,Matched,Valid,Valid
900231,5002348,DHL Express,2026-02-24,2026-03-02,334.45,5796.6,Shipped,Matched,Valid,Valid
900232,5000522,FedEx,2025-08-23,2025-08-24,37.08,388.6,Shipped,Matched,Valid,Valid
900233,5006938,UPS,2026-04-02,2026-04-04,101.08,1759.9,Delivered,Matched,Valid,Valid
900234,5003653,DHL,,,392.18,7275.8,Pending,Matched,Missing Shipment Date,Missing Delivery Date
900235,5008370,UPS,2026-06-10,2026-06-17,204.09,,Shipped,Matched,Valid,Valid
900236,5011882,Blue Dart,2025-12-06,2025-12-07,84.94,1172.4,Returned,Matched,Valid,Valid
900237,5010646,DHL,2024-12-10,2024-12-14,139.56,2612.4,Shipped,Matched,Valid,Valid
900238,5001409,DHL Express,2023-09-22,2023-10-16,681.47,10572.4,Pending,Matched,Valid,Valid
900239,5006582,FedEx,2024-08-04,2024-08-16,525.3,10894.5,Pending,Matched,Valid,Valid
900240,5005592,Blue Dart,2025-04-14,2025-04-25,269.67,5033.4,Cancelled,Matched,Valid,Valid
900241,5000444,DHL,2022-01-19,2022-01-30,446.13,6306.6,Delivered,Matched,Valid,Valid
900242,5010019,DHL Express,2024-05-14,2024-06-07,443.92,10370.1,Shipped,Matched,Valid,Valid
900243,5003706,DHL,2026-04-14,2026-05-06,,9803.3,Returned,Matched,Valid,Valid
900244,5008604,Blue Dart,2025-09-24,,580.99,11245.2,Delivered,Matched,Valid,Missing Delivery Date
900245,5002975,Blue Dart,2024-11-13,,121.69,1757.5,Shipped,Matched,Valid,Missing Delivery Date
900246,5003742,DHL Express,2022-05-09,2022-05-14,142.49,3191.9,Cancelled,Matched,Valid,Valid
900247,5011278,DHL,2025-10-04,2025-10-18,679.28,10744.5,Delivered,Matched,Valid,Valid
900248,5006298,DHL,2026-04-11,2026-04-15,272.31,4169.4,Cancelled,Matched,Valid,Valid
900249,5004247,DHL Express,2022-09-11,2022-09-28,467.05,9700.1,Returned,Matched,Valid,Valid
900250,5005519,UPS,,,,6129.5,Shipped,Matched,Missing Shipment Date,Missing Delivery Date
900251,5005175,Maersk,2023-11-18,2023-12-15,634.5,11383.8,Returned,Matched,Valid,Valid
900252,5004455,DHL,2025-10-31,2025-11-04,217.55,3028.5,Shipped,Matched,Valid,Valid
900253,5006379,DHL,2023-01-19,2023-01-31,625.26,9481.8,Shipped,Matched,Valid,Valid
900254,5008001,UPS,2025-11-28,2025-11-30,75.51,1345.8,Delivered,Matched,Valid,Valid
900255,5008801,UPS,2024-11-22,2024-11-24,87.59,1376.6,Delivered,Matched,Valid,Valid
900256,5009619,DHL Express,,,769.87,11310.4,Returned,Matched,Missing Shipment Date,Missing Delivery Date
900257,5011012,Maersk,2024-07-22,2024-07-28,253.32,4851.9,Returned,Matched,Valid,Valid
900258,5011117,FedEx,,,543.56,7920.1,Delivered,Matched,Missing Shipment Date,Missing Delivery Date
900259,5003953,DHL Express,2025-10-25,2025-11-04,504.77,9355.8,Shipped,Matched,Valid,Valid
900260,5007578,DHL Express,2021-07-08,2021-07-17,276.76,,Cancelled,Matched,Valid,Valid
900261,5008014,DHL,2024-09-16,2024-09-21,248.49,4515.7,Delivered,Matched,Valid,Valid
900262,5004599,Maersk,2024-11-21,2024-12-18,597.63,11207.2,Cancelled,Matched,Valid,Valid
900263,5009497,Blue Dart,2021-11-19,2021-11-29,416.07,8807.3,Delivered,Matched,Valid,Valid
900264,5008309,DHL Express,2022-12-11,2022-12-16,147.74,2676.6,Delivered,Matched,Valid,Valid
900265,5009976,FedEx,2026-07-14,2026-07-30,329.69,7619.5,Cancelled,Matched,Valid,Valid
900266,5011739,UPS,2026-01-09,2026-01-22,518.17,11258.5,Delivered,Matched,Valid,Valid
900267,5009667,Blue Dart,,,366.25,7280.1,Shipped,Matched,Missing Shipment Date,Missing Delivery Date
900268,5000526,Maersk,2026-03-20,2026-03-30,371.8,6534.5,Pending,Matched,Valid,Valid
